qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q3221044,医薬品,Q12140,pharmaceutical preparation of nitroglycerin,ニトログリセリン,drug,,,,,,
Q125213933,医薬品,Q12140,coitus Saxonicus,,primitive birth-control method by which squeezing the urethra at the base of the penis immediately prior to ejaculation the semen is forced into the bladder,,,,,,
Q106365726,医薬品,Q12140,Zhuyeqing Tea,,bamboo leaf green tea,,,,,,
Q136222810,医薬品,Q12140,Amarasate,,extract for appetite control,,,,,,
Q106522112,医薬品,Q12140,West China Hospital COVID-19 vaccine,,vaccine candidate against COVID-19,,,,,,
Q3772854,医薬品,Q12140,Mercromina,,topical merbromin solution used as an antiseptic agent,,,,,,
Q1752431,医薬品,Q12140,Dental dam (oral sex),,,,,,,,
Q6151855,医薬品,Q12140,Kolokol-1,KOLOKOL-1,chemical compound,,,,,,
Q129629284,医薬品,Q12140,mRNA-1083,,combined vaccine candidate against influenza and Covid,,,,,,
Q122877522,医薬品,Q12140,simnotrelvir/ritonavir,,antiviral combination medication,,,,,,
Q110263526,医薬品,Q12140,mRNA-1283,,vaccine candidate against COVID-19,,,,,,
Q7842116,医薬品,Q12140,TrimSpa,,dietary supplement,,,,,,
Q17151716,医薬品,Q12140,Anji bai cha,安吉白茶,"Rare, large-leafed green tea",,,,,,
Q130343832,医薬品,Q12140,direclidine,NBI-1117568,antipsychotic drug,,,,,,
Q29573382,医薬品,Q12140,Gypsum deformed cristal-MCG 7747,,"sample of deformed gypsum cristal found in the Galerie du Fondement at Bex Mine, Vaud, Switzerland.",,,,,,
Q3344800,医薬品,Q12140,oral contraceptive,経口避妊薬,medication taken by mouth for the purpose of birth control,,D003276,,,,
Q3542091,医薬品,Q12140,tunicamycin,ツニカマイシン,mixture; extract from bacteria,,D014415,,,,C0041385
Q29655528,医薬品,Q12140,Gypsum-MGL 2367,,"sample of monoclinical gypsum crystal, found in Napoli, Italy",,,,,,
Q50429939,医薬品,Q12140,combined oral contraceptives,,fixed drug combinations administered orally for contraceptive purposes,,D003277,,,,C0009906
Q50429932,医薬品,Q12140,female contraceptive agent,,chemical substances or agents with contraceptive activity in females,,D003271,,,,C0009873
Q110442458,医薬品,Q12140,nirmatrelvir/ritonavir,ニルマトレルビル・リトナビル,antiviral combination medication,,,,,,
Q130632792,医薬品,Q12140,CT-388,,pharmaceutical compound,,,,,,
Q123598885,医薬品,Q12140,enavogliflozin,,chemical compound,,,,,,
Q116785175,医薬品,Q12140,Ceremonial Cacao,,"Cacao prepared in ritual or spiritual contexts, especially among Indigenous cultures such as the Maya. Must be handcrafted and minimally processed for ceremonial use.",,,,,,
Q107306926,医薬品,Q12140,Indigenous Chocolate,,name translation describing a type of chocolate sourced by Amerindian natives at the origin of Theobroma cacao entered in commerce and maritime law by 1644,,,,,,
Q120468350,医薬品,Q12140,retatrutide,,chemical compound,,,,,,
Q30043950,医薬品,Q12140,sejak,,Korean green tea,,,,,,
Q30043971,医薬品,Q12140,ujeon,,Korean green tea,,,,,,
Q107404450,医薬品,Q12140,Crohns MAP Vaccine,,Viral vector vaccine,,,,,,
Q4946230,医薬品,Q12140,Boroline,,Indian antiseptic cream,,,,,,
Q3064190,医薬品,Q12140,Burow's solution,,astringent and antibacterial treatment,,,,,,
Q37890353,医薬品,Q12140,Cacao Amazonas Perú,,,,,,,,
Q98681544,医薬品,Q12140,hormonal contraceptive agents,,contraceptive agents that act on the endocrine system,,D000080066,,,,
Q116817861,医薬品,Q12140,Indigenous Cacao,先住民族のカカオ,cacao seeds or cocoa beans from Theobroma cacao trees growing at their place of origin in South America,南米原産のカカオの木から採れるカカオの種子またはカカオ豆,,,,,
Q116778899,医薬品,Q12140,Cacao-Chocolate,,chocolate produced from wild Theobroma cacao beans without preservatives,,,,,,
Q1327377,医薬品,Q12140,four thieves vinegar,4人の泥棒の酢,concoction believed to protect users from the plague,,,,,,
Q120799016,医薬品,Q12140,falimarev,,cancer vaccine made with a form of a chicken virus that does not cause disease in humans,,,,,,
Q124257924,医薬品,Q12140,BNT162b5,,vaccine against SARS-CoV-2,,D000096106,,,,
Q54925669,医薬品,Q12140,Propylex,,,,,,,,
Q7516587,医薬品,Q12140,Silver proteinate,,staining chemical,,,,,,C0086985
Q111663084,医薬品,Q12140,Packet of 'Anti-Baby' condoms,,item in Science Museum Group collections,,,,,,
Q11612412,医薬品,Q12140,Zezecha,膳所茶,,,,,,,
Q93561941,医薬品,Q12140,Tuvunu,,Greek soft drinks brand,,,,,,
Q4207143,医薬品,Q12140,Kagocel,,antiviral medication with unproven efficacy,,,,,,
Q11390756,医薬品,Q12140,Yamecha,八女茶,"tea produced in Fukuoka Prefecture, Japan",日本茶のブランド,,,,,
Q7428376,医薬品,Q12140,Savlon,サブロン,Antiseptic solution for hygiene care,,,,,,
Q124767680,医薬品,Q12140,amycretin,,GLP-1 and amylin receptor agonist,,,,,,
Q105939175,医薬品,Q12140,vaccinal liquid in the first COVID-19 shot given to Sarah Lindsay,,the actual substance that was injected into Sarah Lindsay's body in the moment of vaccination,,,,,,
Q118240704,医薬品,Q12140,Gardasil 9,,HPV vaccine,,C000634046,,,,C3897122
Q111211557,医薬品,Q12140,sarcocolla,,,,,,,,
Q864088,医薬品,Q12140,female condom,女性用コンドーム,device for birth control and STI prevention,,D019111,,,,C0221829
Q112845564,医薬品,Q12140,Tschamba-Fii,,,,,,,,
Q16645358,医薬品,Q12140,Dolphin,,antiseptic,,,,,,
Q50429947,医薬品,Q12140,postcoital contraceptives,,contraceptive substances to be used after coitus,,D003281,,,,
Q116814555,医薬品,Q12140,CVL-354,イカルカプラント,chemical compound,,,,,,
Q2995702,医薬品,Q12140,contraceptive agents,,chemical substances that prevent or reduce the probability of conception,,D003270,,,,C0009871
Q97275232,医薬品,Q12140,Coronavir,,anti-viral drug used to treat COVID-19,,,,,,
Q204193,医薬品,Q12140,cinnamon bark extract,桂皮エキス,extract from cinnamon bark,シナモン樹皮の抽出物,,,,,
Q27275212,医薬品,Q12140,luseogliflozin,ルセオグリフロジン,chemical compound,,,,,,
Q27277423,医薬品,Q12140,bexagliflozin,,chemical compound,,,,,,
Q11109817,医薬品,Q12140,willow bark,,herbal medicine documented by the European Medicines Agency,,,,,,
Q11062782,医薬品,Q12140,Lushan Yunwu,廬山雲霧,famous Chinese green tea from Jiangxi,,,,,,
Q27294103,医薬品,Q12140,atigliflozin,,chemical compound,,,,,,
Q422297,医薬品,Q12140,beta-lipotropin,Β-リポトロピン,peptide hormone in Homo sapiens,,D008083,,,,C0023832
Q27283562,医薬品,Q12140,ipragliflozin L-proline,,chemical compound,,,,,,
Q1069130,医薬品,Q12140,Longjing tea,龍井茶,"pan-roasted green tea from the area of Longjing Village in Hangzhou, China",,,,,,
Q27279888,医薬品,Q12140,lotilaner,,chemical compound,,,,,,
Q318367,医薬品,Q12140,mastic,マスティック・ガム,resin obtained from the mastic tree,ウルシ科の低木マスティックの樹液を原料とした食用のガム・スパイス,D000069997,,,,
Q13110465,医薬品,Q12140,Ilaner kuzhampu,,,,,,,,
Q185690,医薬品,Q12140,corticotropin,副腎皮質刺激ホルモン,hormone,ホルモンの一つ,D000324,,,,C0001655
Q120424,医薬品,Q12140,balsam of Peru,ペルーバルサム,herbal preparation,ペルーバルサムの木から得られる樹脂,,,,,
Q2983740,医薬品,Q12140,Biluochun,碧螺春,"famous Chinese green tea from Dongting Mountains, near Suzhou",,,,,,
Q10888066,医薬品,Q12140,Maojian tea,信陽毛尖,one of the top Chinese green teas,,,,,,
Q430675,医薬品,Q12140,Psyllium seed husks,サイリウム,thickening agent,,D011620,,,,C1445645
Q27261271,医薬品,Q12140,tofogliflozin,,chemical compound,,,,,,
Q21060978,医薬品,Q12140,conker,,seed of Aesculus hippocastanum,,,,,,
Q6694772,医薬品,Q12140,Lu'an Melon Seed tea,六安瓜片,One of China's most famous green tea,,,,,,
Q19703682,医薬品,Q12140,Java tea,,herbal medicine documented by the European Medicines Agency,,,,,,
Q203635,医薬品,Q12140,myrrh,没薬,resin produced by the Commiphora myrrha tree,,C587573,,,,C0207011
Q27278211,医薬品,Q12140,velagliflozin,,chemical compound,,,,,,
Q419432,医薬品,Q12140,calcitonin gene-related peptide,カルシトニン遺伝子関連ペプチド,peptide hormone in Homo sapiens,,,,,,
Q10503898,医薬品,Q12140,Gentianae radix,,herbal medicine documented by the European Medicines Agency,,,,,,
Q1069679,医薬品,Q12140,Huangshan Maofeng,黄山毛峰,one of the most famous green teas in China,,,,,,
Q27891246,医薬品,Q12140,sergliflozin,,chemical compound,,,,,,
Q27678903,医薬品,Q12140,Mori Cortex,桑白皮,Crude drug,,,,,,
Q48832,医薬品,Q12140,tea tree oil,チャノキ油,essential oil derived from leaves,精油,D020947,,,,C0216194
Q165431,医薬品,Q12140,motherwort herb,マザーワート,herbal medicine documented by the European Medicines Agency,,,,,,
Q15622897,医薬品,Q12140,clove,丁子,spice made from dried flowers of clove (Syzygium aromaticum),,,,,,C0009076
Q27253060,医薬品,Q12140,mizagliflozin,,chemical compound,,,,,,
Q20181582,医薬品,Q12140,Sideritis herba,,herbal medicine documented by the European Medicines Agency,,,,,,
Q28165,医薬品,Q12140,cinnamon,シナモン,spice obtained from the inner bark of several tree species from the genus Cinnamomum,香辛料,,,,,C1112857
Q27266178,医薬品,Q12140,bexagliflozin diproline,,chemical compound,,,,,,
Q7087231,医薬品,Q12140,olive leaf,,herbal medicinal product,,,,,,
Q1089546,医薬品,Q12140,Chun Mee tea,珍眉茶,popular Chinese green tea,,,,,,
Q8027866,医薬品,Q12140,Hamamelidis cortex,,herbal medicinal product,,,,,,
Q56316433,医薬品,Q12140,mulberry leaf,桑葉,,,,,,,
Q47495780,医薬品,Q12140,canagliflozin hemihydrate,,chemical compound,,,,,,
Q27896079,医薬品,Q12140,velagliflozin proline,,chemical compound,,,,,,
Q47521479,医薬品,Q12140,Voltaren,,pharmaceutical product,,,,,,
Q4306746,医薬品,Q12140,Althaea officinalis extract,,herbal medicine,,,,,,
Q7305370,医薬品,Q12140,red raspberry leaf,,herbal drug,,,,,,
Q11398555,医薬品,Q12140,Kamishoyosan,加味逍遙散,Chinese herbal medicine,漢方処方の一つ,,,,,
Q45071,医薬品,Q12140,progestogen,ゲスターゲン,steroid hormone that activates the progesterone receptor,,,,,,CL448366
Q847098,医薬品,Q12140,Angelica dahurica,ヨロイグサ,species of plant,セリ科シシウド属の多年草であるヨロイグサの漢名,,,,,C1083049
Q3215980,医薬品,Q12140,thyme,タイム,"herb with culinary, medicinal and ornamental uses",,,,,,C1305848
Q3251025,医薬品,Q12140,juniper berry,杜松果,"spice, herbal drug",ビャクシン属樹木の果実,,,,,
Q105754741,医薬品,Q12140,Rapidus,,,,,,,,
Q10723927,医薬品,Q12140,Yun Wu,,Chinese green tea,,,,,,
Q2596949,医薬品,Q12140,Tamaryokucha,玉緑茶,Japanese green tea,,,,,,
Q2598236,医薬品,Q12140,Aracha,荒茶,deep green tea with a bold taste,,,,,,
Q7454518,医薬品,Q12140,sergliflozin etabonate,,chemical compound,,,,,,
Q21155816,医薬品,Q12140,caraway seeds,キャラウェイシード,spice,,,,,,C0453246
Q511687,医薬品,Q12140,eucalyptus oil,ユーカリ油,distilled oil from the leaf of Eucalyptus,,D000078122,,,,C0163069
Q27680188,医薬品,Q12140,Quercus Cortex,樸樕,crude drug,,,,,,
Q20427680,医薬品,Q12140,Tolak Angin,トラック・アンギン,Herbal supplement product from Indonesia,,,,,,
Q7842230,医薬品,Q12140,trimethoprim/sulfadoxine,,combination drug,,,,,,
Q10411650,医薬品,Q12140,Anervan,,antimigraine medication,,,,,,
Q27583768,医薬品,Q12140,Aconiti Tuber,附子,Crude drug,,,,,,
Q96240523,医薬品,Q12140,greater celandine (herb),,herbal medicine documented by the European Medicines Agency,,,,,,
Q96240608,医薬品,Q12140,chicory root,,herbal medicine documented by the European Medicines Agency,,,,,,
Q27650141,医薬品,Q12140,peony root,芍薬,Crude drug,,,,,,
Q96249767,医薬品,Q12140,javanese turmeric,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96252118,医薬品,Q12140,purple coneflower herb,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96252322,医薬品,Q12140,Eleutherococcus root,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96252547,医薬品,Q12140,horsetail herb,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96276772,医薬品,Q12140,eyebright (herb),,herbal medicine documented by the European Medicines Agency,,,,,,
Q96279146,医薬品,Q12140,fumitory (herb),,herbal medicine documented by the European Medicines Agency,,,,,,
Q96279168,医薬品,Q12140,ginkgo leaf,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96279563,医薬品,Q12140,gumweed herb,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96279580,医薬品,Q12140,hamamelis leaf,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96279746,医薬品,Q12140,horse-chestnut bark,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96308786,医薬品,Q12140,lovage root,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96312415,医薬品,Q12140,white horehound (herb),,herbal medicine documented by the European Medicines Agency,,,,,,
Q96312550,医薬品,Q12140,matricaria flower,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96312592,医薬品,Q12140,melissa leaf,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96312751,医薬品,Q12140,peppermint leaf,,herbal medicine documented by the European Medicines Agency,,,,,,
Q48929903,医薬品,Q12140,turmeric rhizome,,rhizome of the Curcuma longa plant used as a spice in cooking,,,,,,
Q27032378,医薬品,Q12140,Equilytes,,branded electrolyte product used in veterinary medicine,,,,,,
Q27658833,医薬品,Q12140,fennel fruit,茴香,"fruit (""seed"") of the fennel plant used as herb, spice, or medicine",ウイキョウの果実、漢方生薬,,,,,C1145581
Q5572144,医薬品,Q12140,Glover's Medicated Salt Cake,,,,,,,,
Q27584141,医薬品,Q12140,alisma rhizome,沢瀉,Crude drug,,,,,,
Q29006643,医薬品,Q12140,Viagra,,trade name of a pharmaceutical product from Pfizer with the active ingredient sildenafil,,,,,,
Q19904145,医薬品,Q12140,GSK2831781,,monoclonal antibody,,,,,,
Q484083,医薬品,Q12140,green tea,緑茶,unoxidized tea,飲料の一種,,,,,C0795620
Q46452,医薬品,Q12140,opium,アヘン,dried latex of the opium poppy containing narcotic compounds,ケシの果汁を乾燥させた麻薬,D009892,,,,
Q7246687,医薬品,Q12140,ProSavin,,,,,,,,
Q21546392,医薬品,Q12140,garlic,ニンニク,culinary ingredient (for the species use Q23400),香辛料など食品として利用されるニンニクの鱗茎,,,,,
Q27650669,医薬品,Q12140,ginger rhizome,生姜,Crude drug,,,,,,
Q25326850,医薬品,Q12140,etilagimod alpha,,experimental cancer drug,,,,,,
Q76754380,医薬品,Q12140,selatogrel,,P2Y12 inhibitor,,,,,,
Q3215910,医薬品,Q12140,Lactucarium,ラクツカリウム,milky fluid secreted by several species of lettuce,,,,,,
Q17630810,医薬品,Q12140,formosulfathiazole,,veterinary medicine,,,,,,
Q424452,医薬品,Q12140,theralizumab,TGN1412,monoclonal antibody,,,,,,
Q96252478,医薬品,Q12140,willow herb,,herbal medicine documented by the European Medicines Agency,,,,,,
Q5443593,医薬品,Q12140,fentanyl/fluanisone,,combination drug,,,,,,
Q33873455,医薬品,Q12140,anise seed,,"fruit from the Pimpinella anisum plant, used as condiment or spice",,,,,,
Q207642,医薬品,Q12140,Catha edulis,チャット,"species of plant, commonly used by humans for its psychoactive effects",ニシキギ科に分類される植物,,,,,
Q96254026,医薬品,Q12140,California poppy,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96308468,医薬品,Q12140,lavender flower,,flower of Lavandula angustifolia used as an herbal medicine and food ingredient,,,,,,
Q27658295,医薬品,Q12140,Cimicifugae Rhizoma,升麻,Crude drug,,,,,,
Q519365,医薬品,Q12140,genmaicha,玄米茶,Japanese green tea mixed with brown rice,,,,,,
Q488431,医薬品,Q12140,Bergamot essential oil,ベルガモット精油,cold-pressed essential oil,,,,,,
Q2679196,医薬品,Q12140,enurace,,drug indicated for treatment of urinary incontinence in dogs,,,,,,
Q871311,医薬品,Q12140,baekseju,百歳酒,korean glutinous rice-based wine,朝鮮で古くから伝わるとされる酒,,,,,
Q20678969,医薬品,Q12140,Spongia somnifera,,medieval anesthetic,,,,,,
Q27579297,医薬品,Q12140,Achyranthis Radix,牛膝,Crude drug,,,,,,
Q18386418,医薬品,Q12140,imidacloprid/permethrin/pyriproxyfen,,veterinary drug,,,,,,
Q8061329,医薬品,Q12140,Yunnan Baiyao,,alternative medicine hemostatic,,,,,,
Q27631426,医薬品,Q12140,liquorice root,甘草,Crude drug,,,,,,
Q27631045,医薬品,Q12140,ginseng root,人参,Crude drug,,,,,,
Q96306894,医薬品,Q12140,walnut leaf,,herbal medicine documented by the European Medicines Agency,,,,,,
Q7386960,医薬品,Q12140,Rượu thuốc,,Vietnamese distilled liquor (rượu) with herbs and medical animals,,,,,,
Q1226356,医薬品,Q12140,Sage oil,,herbal drug,,,,,,
Q1826068,医薬品,Q12140,Tiliae flos,,herbal medicine documented by the European Medicines Agency,,,,,,
Q1103369,医薬品,Q12140,thyme oil,タイム精油,herbal medicinal product,精油,,,,,
Q1103862,医薬品,Q12140,camomile oil,カモミール精油,essential oil of German chamomile or Roman chamomile,精油,,,,,
Q1470519,医薬品,Q12140,fennel oil,,essential oil,,,,,,
Q67778134,医薬品,Q12140,elderflower,,ingredient; herbal drug,,,,,,
Q72470595,医薬品,Q12140,purple coneflower root,,herbal medicine,,,,,,
Q95999057,医薬品,Q12140,Burdock Root,ごぼう,herbal medicine documented by the European Medicines Agency,ゴボウの根、根菜,,,,,
Q4918178,医薬品,Q12140,Bisin,,lantibiotic,,,,,,
Q95998612,医薬品,Q12140,Absinthii herba,,herbal medicine documented by the European Medicines Agency,,,,,,
Q95998986,医薬品,Q12140,Dandelion Root with Herb,,herbal medicine documented by the European Medicines Agency,,,,,,
Q95999080,医薬品,Q12140,Senna leaf,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96018540,医薬品,Q12140,Agnus Castus Fruit,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96018526,医薬品,Q12140,senna pods,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96019252,医薬品,Q12140,dandelion leaf,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96019930,医薬品,Q12140,Couch grass rhizome,,herbal medicine documented by the European Medicines Agency,,,,,,
Q3704725,医薬品,Q12140,defibrotide,デフィブロチド,mixture of single stranded polydeoxyribonucleotides derived from porcine intestinal mucosa used as a pharmaceutical drug,,,,,,
Q96022079,医薬品,Q12140,Roman Chamomile Flower,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96022682,医薬品,Q12140,Millefolii herba,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96023266,医薬品,Q12140,pelargonium root,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96051327,医薬品,Q12140,Herniariae herba,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96051479,医薬品,Q12140,Frangula bark,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96056317,医薬品,Q12140,Rhei radix,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96057747,医薬品,Q12140,Tanaceti parthenii herba,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96058331,医薬品,Q12140,oat grain,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96058671,医薬品,Q12140,Bursae pastoris herba,,herbal medicine documented by the European Medicines Agency,,,,,,
Q96058504,医薬品,Q12140,oat herb,,herbal medicine documented by the European Medicines Agency,,,,,,
Q3214940,医薬品,Q12140,hops,毬花,female flowers of Humulus lupulus,ホップの雌花,,,,,
Q1131082,医薬品,Q12140,copeptin,,protein fragment in Homo sapiens,,,,,,
Q349395,医薬品,Q12140,Yu Yee oil,,medicated ointment,,,,,,
Q27273848,医薬品,Q12140,nisterime,,chemical compound,,,,,,
Q292982,医薬品,Q12140,Serpin family A member 1,抗トリプシン,mammalian protein found in Homo sapiens,,D000515,,,,C0002191
Q28131982,医薬品,Q12140,Methoxydienone,メトキシジエノン,steroid,,,,,,
Q2195458,医薬品,Q12140,clove oil,クローブオイル,oil of cloves,,D045783,,,,C0028906
Q3115198,医薬品,Q12140,Wolfiporia extensa,マツホド,species of fungus,サルノコシカケ科の菌類,,,,,
Q3762358,医薬品,Q12140,jalap,,purgative drug obtained from certain convolvulaceous plants,,,,,,
Q55829827,医薬品,Q12140,Evening primrose oil,,Oil from the seeds of Oenothera biennis,,,,,,
Q3612852,医薬品,Q12140,aloe,アロエ,medical product derived from various plants in the genus Aloe,,,,,,
Q72515130,医薬品,Q12140,caraway oil,,essential oil from Carum carvi,,,,,,
Q92581152,医薬品,Q12140,oregano,,spice produced from a variety of plants,,,,,,C0453263
Q28131938,医薬品,Q12140,Nandrolone caproate,カプロン酸ナンドロロン,synthetic androgen and anabolic steroid,,,,,,
Q1251367,医薬品,Q12140,rosemary oil,ローズマリー・オイル,herbal drug,,,,,,
Q76937206,医薬品,Q12140,Cascara,,"Dried aged bark of a buckthorn, Frangula purshiana (FRANGULA), that contains the anthraquinone EMODIN and cascarosides. It is used as a laxative (CATHARTICS).",,,,,,
Q28131972,医薬品,Q12140,bolazine capronate,,chemical compound,,,,,,
Q28131956,医薬品,Q12140,Methylepitiostanol,,chemical compound,,,,,,
Q28131958,医薬品,Q12140,17α-alkylated anabolic steroid,,class of chemical compounds,,,,,,
Q28131930,医薬品,Q12140,Omnadren,,combination drug,,,,,,
Q10600523,医薬品,Q12140,Nicotinell,,smoking cessation product,,,,,,
Q2513481,医薬品,Q12140,veratrine,,plant extract,,D014702,,,,C0042526
Q2007590,医薬品,Q12140,enteroglucagon,エンテログルカゴン,peptide hormone,,,,,,
Q416821,医薬品,Q12140,menotropin,ヒト下垂体性性腺刺激ホルモン,pharmaceutical drug,,D008596,,,,
Q57659978,医薬品,Q12140,fenugreek seed,,ingredient; herbal drug,,,,,,C0453257
Q73988,医薬品,Q12140,chenpi,陳皮,sundried tangerine (mandarin) peel used as a traditional seasoning in Chinese cooking and traditional medicine,漢方薬の原料のひとつ,,,,,
Q72515979,医薬品,Q12140,Valerian root oil,,herbal drug,,,,,,
Q926892,医薬品,Q12140,soybean oil,大豆油,oil from the seeds of Glycine max,,D013024,,,,C0037732
Q3133417,医薬品,Q12140,Jesuit's bark,キナ皮,bark from trees of the genus Cinchona,,,,,,
Q848174,医薬品,Q12140,juniper oil,ジュニパー精油,"essential oil, herbal drug",精油,,,,,
Q417317,医薬品,Q12140,insulin glargine,インスリングラルギン,pharmaceutical drug,,D000069036,,,,C0907402
Q28131980,医薬品,Q12140,Deposterona,,anabolic Steroid,,,,,,
Q28131946,医薬品,Q12140,Nandrolone sulfate sodium,,synthetic androgen and anabolic steroid,,,,,,
Q28131923,医薬品,Q12140,Testosterone hexyloxyphenylpropionate,,androgenic steroid,,,,,,
Q3056521,医薬品,Q12140,pumpkin seed,かぼちゃの種,seeds of pumpkins and similar curcurbits,,,,,,
Q909377,医薬品,Q12140,donkey-hide gelatin,阿膠,gelatin obtained from the skin of the donkey,,,,,,
Q5250691,医薬品,Q12140,deer blood,,"blood from deer, used in medicine",,,,,,
Q7189786,医薬品,Q12140,Phytoandrogens,,androgens and anabolic steroid,,,,,,
Q5401844,医薬品,Q12140,Estrogen ester,エストロゲンエステル,ester of an estrogen,,,,,,
