qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q81476,外科手術,Q796194,endarterectomy,,surgical removal of the atheromatous plaque in an artery,,D004691,,,,
Q615857,外科手術,Q796194,stapedectomy,アブミ骨切除術,surgical procedure of the middle ear performed to improve hearing,,D013201,,,,
Q1116726,外科手術,Q796194,Drehmann sign,,orthopedicclinical test for hip joint,,,,,,
Q818326,外科手術,Q796194,Benton Visual Retention Test,,medical diagnostic method,,,,,,
Q88808305,外科手術,Q796194,artificial heart at Palais de la Découverte,,,,,,,,
Q196775,外科手術,Q796194,Zervikalabstrich,,German term: a medical procedure in the context of the gynecological examination,,,,,,
Q32566,外科手術,Q796194,computed tomography,コンピュータ断層撮影,medical imaging procedure using X-rays to produce cross-sectional images,放射線を用いて、物体の内部をスライス画像化して観察できるようにする技術,D014057,,,,
Q115841338,外科手術,Q796194,conditioned play audiometry,,"pediatric hearing test where conditioned responses to auditory stimuli are used to assess a child's hearing ability, often through games or activities",,,,,,
Q1036063,外科手術,Q796194,tone decay test,,"auditory nerve function assessment by measuring the ability to sustain hearing a continuous tone, aiding in detecting retrocochlear disorders",,,,,,
Q897939,外科手術,Q796194,Myers-Briggs Type Indicator,MBTI,model of personality types,アメリカで提唱された、類型論に基づくパーソナリティ検査(性格検査）,,,,,
Q1402440,外科手術,Q796194,Feldenkrais Method,フェルデンクライスメソッド,guild regulated movement education complementary to physical therapy,,,,,,
Q680820,外科手術,Q796194,Freiburger Persönlichkeitsinventar,,psychological personality test,,,,,,
Q46565,外科手術,Q796194,pneumonectomy,肺切除,surgical removal of a lung,,D011013,,,,
Q580383,外科手術,Q796194,splenectomy,脾臓摘出術,surgical removal of part or all of a spleen,,D013156,,,,C0037995
Q104213026,外科手術,Q796194,MEDsan SARS-CoV-2 Antigen Rapid Test,,rapid antigen test for SARS-Cov-2,,,,,,
Q475069,外科手術,Q796194,embolectomy,,surgical removal of emboli,,D017128,,,,C0162575
Q104290518,外科手術,Q796194,Abbott BinaxNOW COVID-19 Ag,,rapid antigen test for SARS-Cov-2,,,,,,
Q104290497,外科手術,Q796194,Ellume COVID-19 Home Test,,rapid antigen test for SARS-Cov-2,,,,,,
Q113134911,外科手術,Q796194,ammonium chloride loading test,,clinical test to support a diagnosis of renal acidosis,,,,,,
Q166026,外科手術,Q796194,hemispherectomy,,neurosurgical procedure wherein a cerebral hemisphere (half of the brain) is removed.,,D038421,,,,C1136213
Q4034713,外科手術,Q796194,Boel test,,,,,,,,
Q180071,外科手術,Q796194,fine-needle aspiration,生検法,"diagnostic procedure to investigate lumps using a thin needle, for histopathology or cytopathology",,D044963,,,,C0085846
Q829680,外科手術,Q796194,complaints list,,standardized German-language questionnaire for physical and psychological complaints,,,,,,
Q17005977,外科手術,Q796194,CPK-MB test,,cardiac marker used to assist diagnoses of an acute myocardial infarction,,,,,,
Q130273464,外科手術,Q796194,speech reception threshold,,minimum hearing level at which an individual can correctly repeat 50% of the speech material,,,,,,
Q5357983,外科手術,Q796194,electrocochleography,蝸電図,"technique of recording electrical potentials generated in the inner ear and auditory nerve in response to sound stimulation, using an electrode placed in the ear canal or tympanic membrane",,,,,,C0013805
Q814201,外科手術,Q796194,Zerssen Befindlichkeits-Skala,,,,,,,,
Q290912,外科手術,Q796194,hippotherapy,乗馬セラピー,form of therapy in which a therapist uses the characteristic movements of a horse,,D056147,,,,C0454416
Q473246,外科手術,Q796194,Wechsler Memory Scale,ウェクスラー記憶検査,comprehensive battery test to assess the capacity of learning and remembering information,,D000073220,,,,C0451575
Q32012,外科手術,Q796194,Jungian Type Index,,"psychological classification metric Introduced by Optimas in 2001, developed by Thor Ødegård and Hallvard E. Ringstad, based on the work of Carl Jung",,,,,,
Q592565,外科手術,Q796194,apicoectomy,歯根端切除術,surgical removal of the root tip of a tooth,,D001047,,,,C0003571
Q101451921,外科手術,Q796194,BD Veritor™ System for Rapid Detection of SARS-CoV-2,,rapid COVID-19 test system,,,,,,
Q742740,外科手術,Q796194,Binet-Simon test,,historical intelligence test,,,,,,
Q7981585,外科手術,Q796194,Wellness Recovery Action Plan,元気回復行動プラン,therapeutic method and series of self-help books,,,,,,
Q2888117,外科手術,Q796194,ACTH stimulation test,ACTH負荷試験,Medical test to assess adrenal gland function,,,,,,C0201971
Q620840,外科手術,Q796194,appendectomy,虫垂切除術,surgical removal of the vermiform appendix,,D001062,,,,C0003611
Q847202,外科手術,Q796194,Rey-Osterrieth Complex Figure,,neuropsychological test,,,,,,
Q245341,外科手術,Q796194,radiography,X線撮影,imaging technique using ionizing and non-ionizing radiation,X線を用いて、物体の内部を画像化する技術,D011859,,,,C0043299
Q366774,外科手術,Q796194,adrenalectomy,副腎摘出術,surgical removal of the adrenal gland,,D000315,,,,C0001632
Q1755926,外科手術,Q796194,no observable adverse effect level,無有害作用量,denotes the level of exposure of an organism,,D019055,,,,
Q131337426,外科手術,Q796194,pressurized otoacoustic emissions,,clinical test detecting cochlear outer hair cell energy by equalizing ear canal and middle ear pressure to improve accuracy and reduce false positives for sensorineural hearing loss,,,,,,
Q131339768,外科手術,Q796194,vestibulometry,,"diagnostic test that evaluates the function of the vestibular system, which helps maintain balance and spatial orientation",,,,,,
Q131351367,外科手術,Q796194,aided cortical auditory evoked potentials,,"evoked responses in the auditory cortex to sound stimuli, confirming the physiological detection of these stimuli at the cortical level",,,,,,
Q25303683,外科手術,Q796194,real ear measurement,,measurement of sound pressure level in a patient's ear canal developed when a hearing aid is worn,,,,,,
Q550675,外科手術,Q796194,hysterectomy,子宮摘出術,surgical removal of the uterus,外科的医療処置,D007044,,,236886002,C0020699
Q682553,外科手術,Q796194,Baum test,バウムテスト,projective drawing technique developed by Karl Koch,投影法による心理検査のひとつ,,,,,
Q232839,外科手術,Q796194,Zweigläserprobe,,German term: an examination of the urine,,,,,,
Q300708,外科手術,Q796194,Aachen Aphasia Test,,German language test to diagnose aphasia as a result of acquired brain damage,,,,,,
Q356194,外科手術,Q796194,adenoidectomy,,surgical removal of the adenoids,,D000233,,,,C0001425
Q1504201,外科手術,Q796194,absolute threshold of hearing,最小可聴値,minimum sound level that an average individual can hear,,D001309,,,,C0004312
Q245995,外科手術,Q796194,cystectomy,,excision of the urinary bladder,,D015653,,,,
