qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q124850662,症状,Q169872,apagender,,,,,,,,
Q185935,症状,Q169872,mania,躁病,"state of abnormally elevated or irritable mood, arousal, and/or energy levels",気分高揚・万能感・活動性激増・多弁・自己過大評価・睡眠激減・観念奔逸・病識欠如などを特徴とする精神疾患,D000087122,F30,296.4,,
Q130486455,症状,Q169872,Enzootic ataxia,,,,,,,,
Q1146454,症状,Q169872,IgA glomerulonephritis,IgA腎症,disease of the kidney,,D005922,,,,C0017661
Q2553422,症状,Q169872,POEMS syndrome,クロウ・深瀬症候群,paraneoplastic syndrome,,D016878,D47.7,273.8,,C0085404
Q649340,症状,Q169872,Alice in Wonderland syndrome,不思議の国のアリス症候群,neuropsychological condition,ものの大きさに関する様々な主観的イメージの変容を引き起こす症候群,D062026,,,,C0854348
Q1053948,症状,Q169872,Stevens–Johnson syndrome,スティーブンス・ジョンソン症候群,skin disease,皮膚や粘膜の過敏症,D013262,,,73442001,C0014518
Q2602467,症状,Q169872,cerebrotendinous xanthomatosis,脳腱黄色腫症,autosomal recessive form of xanthomatosis.,,D019294,E75.5,272.7,,C0238052
Q28814,症状,Q169872,autoimmune hemolytic anemia,免疫介在性溶血性貧血,autoimmune disease of blood that is characterized by deficient red blood cells caused by auto-antibodies.,,D000744,,,,C0002880
Q96461709,症状,Q169872,unstable self-image,,unstable or frequently changing sense of identity,,,,,286646006,C0564477
Q63253280,症状,Q169872,hypnogogic hallucination,催眠幻覚,"hallucination that occur at the onset of sleep (most commonly of the visual, auditory or tactile modality)",,,,,,
Q1316942,症状,Q169872,focal cortical dysplasia,,human disease,,D000092222,Q04.6,742.4,,C1846385
Q2613277,症状,Q169872,Alpha-thalassemia mental retardation syndrome,ATR-X症候群,alpha thalassemia that has material basis in mutation in the ATRX gene on Xq21,,C538258,,,,C1845055
Q1058608,症状,Q169872,primary sclerosing cholangitis,原発性硬化性胆管炎,"sclerosing cholangitis characterized by fibroobliterative inflammation of the biliary tract, leading to cirrhosis and portal hypertension",,C536419,,576.1,,C0566602
Q7077147,症状,Q169872,ocular tremor,,,,,,,,
Q3724764,症状,Q169872,foetal-maternal haemorrhage,,Human disease,,D005331,P50.4,772.0,,C0015959
Q501571,症状,Q169872,catatonia,緊張病,"psychopathological syndrome, a group of postural and movement abnormalities",精神運動の低下および昏迷状態に代表される異常行動を特徴とする状態,D002389,F20.2,295.2,247917007,
Q11491565,症状,Q169872,acute subdural hematoma,急性硬膜下血腫,accumulation of blood in the subdural space with acute onset of neurological symptoms,短時間で硬膜と脳の間に血腫が形成された状態,D020199,,,,C0749098
Q5540112,症状,Q169872,George H. W. Bush vomiting incident,ブッシュ米大統領の1992年の崩壊と嘔吐,when US President vomited into Japanese Prime Minister's lap,,,,,,
Q2610084,症状,Q169872,sideroblastic anaemia P,鉄芽球性貧血,aplastic anemia where the bone marrow produces ringed sideroblasts rather than healthy red blood cells (erythrocytes),,D000756,,,,C0002896
