qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q132325,治療薬,Q179661,Ayurveda,アーユルヴェーダ,traditional medicine system with historical roots in the Indian subcontinent,インド亜大陸で信じられている似非科学的な民間療法,D008515,,,,
Q121713,治療薬,Q179661,acupuncture,鍼,form of alternative medicine,身体の特定の点を刺激するために専用の鍼を生体に刺入または接触する治療法,D026881,,,,C0001299
Q131543,治療薬,Q179661,electroconvulsive therapy,電気けいれん療法,medical procedure,治療法の一つ,D004565,,,,C0013806
Q81058,治療薬,Q179661,homeopathy,ホメオパシー,"system of pseudoscientific alternative medicine based on the doctrine of ""like cures like""",「似たものが似たものを治す」という理論による疑似科学的な代替医療,D006705,,,,C0684199
Q980517,治療薬,Q179661,Minnesota Model,,,ウィキメディアの一覧記事,,,,,
Q937737,治療薬,Q179661,moxibustion,灸,Chinese medicine therapy,艾を皮膚上で燃焼させておこなう伝統的な代替医療、民間療法,D009071,,,,C0026652
Q976922,治療薬,Q179661,seitai,整体,,体の筋骨を整える治療技術,,,,,
Q935990,治療薬,Q179661,active imagination,能動的想像法,process of creating mental images that can be used for self-discovery or creative problem solving,自己発見や創造的な問題解決に使用できる心のイメージを作成するプロセス,,,,,
Q954190,治療薬,Q179661,TEACCH approach,TEACCHプログラム,university Organization,ノースカロライナ州の自閉スペクトラム症支援プログラム,,,,,
Q134808,治療薬,Q179661,vaccine,ワクチン,"substance used to stimulate the production of antibodies and provide immunity against one or several diseases, agent of a disease, its products, or a synthetic substitute",感染症の予防に用いる医薬品,D014612,,,,C0042210
Q2031905,治療薬,Q179661,orthomolecular psychiatry,ピロール尿症,form of alternative medicine,不適切なヘモグロビン合成により体内でピロールが過剰なレベルになるという仮説の疾患,,,,,
Q207684,治療薬,Q179661,lobotomy,ロボトミー,discontinued neurosurgical operation,外科的侵襲による精神疾患の治療法,,,,,
Q192995,治療薬,Q179661,vaccination,予防接種,administration of a vaccine to protect against disease,病気に対する免疫をつけるための抗原物質の投与,D014611,,,,C0042196
Q297078,治療薬,Q179661,oil pulling,オイルプリング,"alternative medical practice without proven benefit, in which oil is ""swished"" around the mouth",代替医療,,,,,
Q1115133,治療薬,Q179661,RICE,RICEの法則,medical acronym,応急処置の手法の一つ,,,,,
Q1147152,治療薬,Q179661,cognitive behavioral therapy,認知行動療法,"psychotherapeutic approach that addresses dysfunctional emotions, behaviors and cognitions",心理療法の技法の一つ,D015928,,,,C0009244
Q6128790,治療薬,Q179661,sympathectomy,交感神経遮断術,procedure during which at least one sympathetic ganglion is removed,交感神経節を切除する手術,D013562,,,,C0039038
Q6202271,治療薬,Q179661,jing zuo,静坐,meditation practice,中国における瞑想法,,,,,
Q2323044,治療薬,Q179661,Da Vinci Surgical System,da Vinci,robotic surgical system,インテュイティヴ・サージカル社が開発したマスタースレイブ型内視鏡下手術用の手術用ロボット,,,,,
Q2121103,治療薬,Q179661,fecal bacteriotherapy,糞便注腸法,process of transplantation of fecal bacteria from a healthy individual into a recipient,健康な人の腸内細菌を対象患者の消化管に移植する治療法,D000069467,,,,C2242628
Q2071582,治療薬,Q179661,crystal healing,パワーストーン,Pseudoscientific alternative medicine technique that employs stones and crystals.,1980年代以降の日本における、石や水晶を使ったエセ科学やスピリチュアル信仰,,,,,
Q1520176,治療薬,Q179661,unani,ユナニ医学,traditional medicine from the Mughal empire,中央アジアのイスラム文化圏および南アジアで信じられてる疑似科学的な民間療法,D019367,,,,C0376557
Q1571081,治療薬,Q179661,orthokeratology,オルソケラトロジー,corrective contact lenses,角膜形状を変形して矯正し、治療する角膜矯正療法,D054158,,,,C1533088
Q1427967,治療薬,Q179661,manual therapy,手技療法,physical treatment used to treat musculoskeletal pain and disability,素手だけで行う療法,,,,,
Q1809305,治療薬,Q179661,lymphadenectomy,リンパ節郭清,surgical removal of lymph nodes (often part of breast cancer treatment),外科的治療法の一つ,D008197,,,,
Q356405,治療薬,Q179661,bloodletting,瀉血,"therapy, now rarely used in medicine",血液を排出させる治療法,D001815,,,,
Q466952,治療薬,Q179661,psychodrama,サイコドラマ,therapeutic method,演劇の枠組みと技法を用いた心理療法,D011577,,,,C2713448
Q1381652,治療薬,Q179661,oral rehydration therapy,経口補水療法,type of fluid replacement used to prevent and treat dehydration,一種の補液を使用し脱水症状の予防と治療,,,,,C0029168
Q449058,治療薬,Q179661,reflexology,リフレクソロジー,alternative medical practice involving pressure to specific points on the feet and hands,体の特定部位を押せば別な部位に変化が起こるという疑似科学の考えに基づき、疲労の改善などをはかる代替療法,,,,,
Q341031,治療薬,Q179661,mindfulness-based cognitive therapy,マインドフルネス認知療法,psychotherapy that uses cognitive behavioral therapy with mindfulness meditative practices,マインドフルネスにもとづいた心理療法,D000099025,,,,
Q403356,治療薬,Q179661,Kampo,漢方医学,"system of diagnosis, therapy and study of traditional Chinese medicine in Japan",漢方薬を投与する日本の医学体系,D020835,,,,C0752221
Q621647,治療薬,Q179661,Alexander technique,アレクサンダー・テクニーク,postural awareness technique,心身技法,,,,,
Q1856025,治療薬,Q179661,athletic taping,テーピング,Medical treatment using tape to stabilize the body,スポーツ選手が負傷を予防、もしくは負傷した部位の悪化を防止するために、関節、筋肉などにテープを巻いて固定すること,,,,,
Q18383305,治療薬,Q179661,Open Dialogue,オープン・ダイアローグ,treatment program for schizophrenia,統合失調症に対する治療的介入の手法,,,,,
Q11417060,治療薬,Q179661,pulmonary thoracic surgery,呼吸器外科学,a class of surgical operations on the lungs,医学の一分野,,,,,
Q11388886,治療薬,Q179661,Nyūjō,入定,,空海が永遠の瞑想に入っているという信仰,,,,,
Q11260252,治療薬,Q179661,uirō,ういろう,traditional Japanese over-the-counter drug,大衆薬の一種,,,,,
Q10405662,治療薬,Q179661,Pien tze huang,片仔癀,traditional Chinese medicine,中国の漢方薬,,,,,
Q11652387,治療薬,Q179661,Nagasaki Penguin Aquarium,長崎ペンギン水族館,,長崎県長崎市にある水族館,,,,,
Q11650808,治療薬,Q179661,acupuncture and moxibustion,鍼灸,alternative medical treatment,鍼や灸を用いた民間療法,,,,,
Q12127078,治療薬,Q179661,Novalis,ノバリス,,定位放射線治療を行う放射線治療装置の一つ,,,,,
Q24885926,治療薬,Q179661,intravenous fluid replacement,輸液療法,medical treatment,水分や電解質などを点滴静注により投与する治療法,,,,,C0559692
Q710679,治療薬,Q179661,traditional Korean medicine,韓医学,traditional medicine practiced in Korea,朝鮮半島の伝統医学,D055670,,,,
Q857300,治療薬,Q179661,Heimlich maneuver,ハイムリッヒ法,first aid procedure,窒息しかけた患者に対する応急処置,D059746,,,,C0150421
Q658096,治療薬,Q179661,chiropractic,カイロプラクティック,form of non-scientific healing,指圧等の手技で病気は治療出来ると主張する民間療法や非科学的思想,D002684,,,,C0008138
Q852506,治療薬,Q179661,movement therapy,運動療法,,身体の全体または一部を動かすことで症状の軽減や機能の回復を目指す療法,,,,,
Q833228,治療薬,Q179661,shiatsu,指圧,Japanese type of bodywork therapy based on Chinese medicine,日本の手技療法,,,,,
Q27731328,治療薬,Q179661,gokoto,五虎湯,Kampo drug,漢方薬の一種,,,,,
Q27731440,治療薬,Q179661,hachimijiogan / hachimigan,八味地黄丸,Kampo drug,漢方薬の一種,,,,,
Q27732576,治療薬,Q179661,hangekobokuto,半夏厚朴湯,Kampo drug,漢方薬,,,,,
Q27732577,治療薬,Q179661,hangeshashinto,半夏瀉心湯,Kampo drug,漢方方剤の一つ,,,,,
Q27811347,治療薬,Q179661,keigairengyoto,荊芥連翹湯,Kampo drug,漢方薬の一種,,,,,
Q27894754,治療薬,Q179661,tsudosan,通導散,Kampo drug,漢方方剤の一種,,,,,
Q27894795,治療薬,Q179661,yokukansan,抑肝散,Kampo drug,漢方方剤の一つ,,,,,
Q27826324,治療薬,Q179661,nyoshinsan,女神散,Kampo drug,漢方薬の一つ,,,,,
Q27868181,治療薬,Q179661,orengedokuto,黄連解毒湯,Kampo drug,漢方薬方剤,,,,,
Q27826323,治療薬,Q179661,ninjinyoeito,人参養栄湯,Kampo drug,漢方薬,,,,,
Q27868271,治療薬,Q179661,saikokaryukotsuboreito,柴胡加竜骨牡蠣湯,Kampo drug,漢方薬方剤の一つ,,,,,
Q32488645,治療薬,Q179661,diet therapy,食事療法,adjusting the quantity and quality of food intake to improve health status of an individual,食事の量やバランス、また成分を調節することによって病気の療養をはかったり、病気の臓器を守って健康管理をはかること,D004035,,,,C0012159
Q38276304,治療薬,Q179661,particle therapy,粒子線治療,fighting cancer with high-energy particles,粒子線によるがん治療,,,,,
Q47521826,治療薬,Q179661,Ritalin,リタリン,pharmaceutical product,医薬品の商品名,,,,,
Q86656575,治療薬,Q179661,Qingfeipaidutang,清肺排毒湯,crude drug,漢方薬,,,,,
Q92191952,治療薬,Q179661,Ayurveda Self-Management for Flu Like Symptoms During the Covid-19 Outbreak,,clinical trial,治験,,,,,
Q94982284,治療薬,Q179661,Ayurveda as Prophylaxis for Suspected COVID-19 Patients,,clinical trial,治験,,,,,
Q110408415,治療薬,Q179661,Wahō,和方医学,,日本において独自に発展してきた医学,,,,,
Q111723194,治療薬,Q179661,Siddhartha's First Meditation,樹下観耕,episode in the life of the Buddha,釈迦が初めて瞑想した出来事,,,,,
Q123019616,治療薬,Q179661,Finnish clinical art,フィンランド型臨床美術,Clinical art born in Finland,フィンランドで生まれた臨床美術の一種,,,,,
Q41630,治療薬,Q179661,psychoanalysis,精神分析学,psychological theory that was founded in 1890 by the Viennese neurologist Sigmund Freud,学問の一つ,D011572,,,,C0033884
Q1240637,治療薬,Q179661,Vertical mattress stitch,,surgical Seam for four stitches,,,,,,
Q2136051,治療薬,Q179661,Triple C-support pyramid,,,,,,,,
Q2140225,治療薬,Q179661,tooth replantation,,surgery,,,,,,
Q1385189,治療薬,Q179661,extracorporeal shockwave therapy,体外衝撃波結石破砕術,therapy used to treat kidney stones and plantar fasciitis,,D000074059,,,,
Q1631610,治療薬,Q179661,taxis,,hernia reduction,,,,,,
Q1954518,治療薬,Q179661,Waterdance,,type of aquatic therapy,,,,,,
Q1406306,治療薬,Q179661,Whey therapy,,alternative medicine,,,,,,
Q1781074,治療薬,Q179661,Rolfing,ロルフィング,holistic system of soft tissue manipulation and movement education,,,,,,
Q1777267,治療薬,Q179661,bone fracture treatment,,comprises all medical procedures which heal broken bones,,,,,,
