qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q72000,病気,Q12136,Lemierre's syndrome,レミエール症候群,Human disease: infectious thrombophlebitis of the internal jugular vein,菌血症による感染性血栓性頸静脈炎である疾患群,D057831,,,,C0027537
Q72210,病気,Q12136,tetraphobia,四の字,"avoidance of instances of the number 4, due to homophony of the hanzi 四 (4) and 死 (death) in many East Asian languages",漢字文化圏における忌み数,,,,,
Q68833,病気,Q12136,bone fracture,骨折,medical condition in which there is physical damage to the continuity of the bones,直達外力や介達外力により骨が変形、破壊を起こす外傷であり、構造の連続性が絶たれた状態,D050723,T14.2,829,,C0016658
Q182155,病気,Q12136,herpes zoster,帯状疱疹,viral disease caused by the Varicella zoster virus,水疱瘡の感染歴のある人が発症する、神経に潜んでいた水痘・帯状疱疹ウイルスが引き起こす皮膚疾患,D006562,B02,053,,C0019360
Q181923,病気,Q12136,attention deficit hyperactivity disorder,注意欠陥・多動性障害,neurodevelopmental disorder,神経発達症の一種,D001289,F90.0,,35253001,C4230171
Q182180,病気,Q12136,yawn,あくび,reflex,眠い時に出る呼吸動作,D015000,,,,C0043387
Q83319,病気,Q12136,typhoid fever,腸チフス,bacterial infectious disorder contracted by consumption of food or drink contaminated with Salmonella typhi. This disorder is common in developing countries and can be treated with antibiotics.,サルモネラ属の細菌を病原体とする感染症,D014435,A01.001.0,002002,,C0041466
Q79793,病気,Q12136,measles,麻疹,viral disease affecting humans,麻疹ウイルスによる感染症,D008457,,,,C0025007
Q83177,病気,Q12136,depersonalization,離人症,anomaly of self-awareness,自分が自分の心や体から離れていったり、また自分が自身の観察者になるような状態を感じること,D003861,F48.1,300.6,,C0011551
Q281490,病気,Q12136,urinary incontinence,尿失禁,uncontrolled leakage of urine,尿を失禁すること,D014549,R32,788.3,,C0042024
Q281115,病気,Q12136,Proteus syndrome,プロテウス症候群,"human disease characterized by an overgrowth of skin, bones, muscles, fatty tissues, and blood and lymphatic vessels",身体の変形などをもたらす希少疾患,D016715,,,,C0085261
Q185935,病気,Q12136,mania,躁病,"state of abnormally elevated or irritable mood, arousal, and/or energy levels",気分高揚・万能感・活動性激増・多弁・自己過大評価・睡眠激減・観念奔逸・病識欠如などを特徴とする精神疾患,D000087122,F30,296.4,,
Q510236,病気,Q12136,neurasthenia,神経衰弱,"psychopathological term to denote a condition with symptoms of fatigue, anxiety, headache, heart palpitations, high blood pressure, neuralgia, and depressed mood",精神疾患の診断名の一つ,D009440,F48.0,300.5,,C0027804
Q183472,病気,Q12136,itai-itai disease,イタイイタイ病,Japanese epidemic of cadmium poisoning,未処理廃水によるカドミウム過剰摂取状態で長期間生活してた婦中町(現:富山市)の農業従事者に発生していた公害病,,,,,
Q506652,病気,Q12136,pyelonephritis,腎盂腎炎,Human disease,腎盂ならびに腎実質の炎症,D011704,,,,C0034186
Q188611,病気,Q12136,hypomania,軽躁病,mood state characterized by persistent and pervasive elevated or irritable mood,双極性障害（躁鬱病）という精神疾患における、﻿気分高揚や活動性亢進状態の期間,,F30.0,,,C0241934
Q184627,病気,Q12136,human papillomavirus infection,ヒトパピローマウイルス,infection caused by the human papillomavirus (HPV),尖圭コンジローマや子宮頸がん、中咽頭がんなどの原因とされるウイルス,,B97.7,079.4,240532009,C0343641
Q284145,病気,Q12136,Esca,エスカ,type of grapevine trunk disease,ブドウの幹の病気,,,,,
Q186676,病気,Q12136,stuttering,吃音症,"speech disorder in which the flow of speech is disrupted by involuntary repetitions and prolongations of sounds, syllables, words, or phrases as well as involuntary silent pauses or blocks in which the person who stutters is unable to produce sounds",言葉が円滑に話せない、スムーズに言葉が出てこないこと,D013342,F98.5,,,C0038131
Q187255,病気,Q12136,rheumatoid arthritis,関節リウマチ,autoimmune disease which attacks healthy cells and tissue located in joints,関節炎を主体とする炎症性疾患,D001172,,,,C0003873
Q504790,病気,Q12136,nephrotic syndrome,ネフローゼ症候群,Human disease,尿中に大量のタンパク質が排出されることにより、血液中のタンパク質の濃度が薄くなる結果、むくみ（浮腫）等の異常が起こる疾患,D009404,,,,C0027726
Q103177,病気,Q12136,severe acute respiratory syndrome,重症急性呼吸器症候群,viral respiratory disease,SARSコロナウイルスの感染で発症するウイルス性呼吸器感染症,D045169,U04.9,079.82079.82,,C1175175
Q114085,病気,Q12136,rhinitis,鼻炎,irritation and inflammation of the mucous membrane inside the nose,鼻腔の粘膜に発生した、急性または慢性の炎症,D012220,J00,472.0,,C0035455
Q112412,病気,Q12136,congenital myopathy,先天性ミオパチー,human disease,フロッピーインファント症状を引き起こす疾患群,,G71.2,359.0,,C0027127
Q326643,病気,Q12136,hepatitis E,E型肝炎,an inflammation of the liver caused by infection with the hepatitis E virus,食品が媒介するウイルス性肝炎,D016751,B17.2,070.4,7111000119109,C0085293
Q319763,病気,Q12136,inferiority complex,劣等感,an intense feeling of inferiority,自分が他人に劣っていると感じること,,,,,
Q190564,病気,Q12136,Huntington's disease,ハンチントン病,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",遺伝子の第1エクソンのCAGの繰り返し配列が異常に伸びることによる変性疾患,D006816,F02.2,"333.4333.4,294.1294.1",,C0020179
Q189643,病気,Q12136,delusion,妄想,firm and fixed belief based on inadequate grounding,その文化において共有されない誤った確信,D003702,,,,C0011253
Q497841,病気,Q12136,colony collapse disorder,蜂群崩壊症候群,poorly-understood phenomenon causing decline in bee populations,ミツバチが原因不明で大量に失踪する現象,,,,,
Q495146,病気,Q12136,trichinosis,旋毛虫症,parasitic disease due to invasion by Trichinella spp.,旋毛虫 の感染を原因とする人獣共通感染症,D014235,,,,C0040896
Q101896,病気,Q12136,gonorrhea,淋病,sexually transmitted infection,淋菌への感染により起こる感染症,D006069,,,,C0018081
