qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q65501350,symptom,症状,Q169872,Peroxisomal disease (except Adrenoleukodystrophy),ペルオキシソーム病,,ヒトの疾患,,,,,
Q65213680,symptom,症状,Q169872,vascular sling,,,,,,,,C1856123
Q65213795,symptom,症状,Q169872,LMX1B-associated nephropathy,,,,,,,,
Q65214073,symptom,症状,Q169872,Trifunctional protein deficiency,,,,,,,,
Q65214555,symptom,症状,Q169872,Anterior segment dysgenesis,,,,,,,,
Q65214410,symptom,症状,Q169872,Inherited glycosylphosphatidylinositol deficiency,,,,,,,,
Q65214459,symptom,症状,Q169872,Hereditary autoinflammatory syndrome,,,,,,,,
Q65214498,symptom,症状,Q169872,Idiopathic thrombosis,,,,,,,,
Q109910786,symptom,症状,Q169872,Idiopathic portal hypertension,,,,,,,,
Q1153641,symptom,症状,Q169872,Wolfram syndrome,ウォルフラム症候群,"rare disease in which a human simultaneously has diabetes insipidus, diabetes, optic nerve atrophy and deafness syndrome",,D014929,E13.8,249.90,,C0043207
Q1154619,symptom,症状,Q169872,Werner syndrome,ウェルナー症候群,Lethal autosomal recessive disorder,,D014898,,,,C0043119
Q1146454,symptom,症状,Q169872,IgA glomerulonephritis,IgA腎症,disease of the kidney,,D005922,,,,C0017661
Q2553422,symptom,症状,Q169872,POEMS syndrome,クロウ・深瀬症候群,paraneoplastic syndrome,,D016878,D47.7,273.8,,C0085404
Q56014002,symptom,症状,Q169872,chronic intestinal pseudoobstruction,,medical condition,,,,,,C0238062
Q649340,symptom,症状,Q169872,Alice in Wonderland syndrome,不思議の国のアリス症候群,neuropsychological condition,ものの大きさに関する様々な主観的イメージの変容を引き起こす症候群,D062026,,,,C0854348
Q1053948,symptom,症状,Q169872,Stevens–Johnson syndrome,スティーブンス・ジョンソン症候群,skin disease,皮膚や粘膜の過敏症,D013262,,,73442001,C0014518
Q2602467,symptom,症状,Q169872,cerebrotendinous xanthomatosis,脳腱黄色腫症,autosomal recessive form of xanthomatosis.,,D019294,E75.5,272.7,,C0238052
Q1052391,symptom,症状,Q169872,inherited pseudoxanthoma elasticum,弾力繊維性仮性黄色腫,Human disease,,D011561,,,,C0033847
Q8277,symptom,症状,Q169872,multiple sclerosis,多発性硬化症,disease that damages the myelin sheaths around nerve axons,中枢性脱髄疾患の一つ,D009103,,,,C0026769
Q65122499,symptom,症状,Q169872,Hepatic glycogenosis,,,,,,,,C0268145
Q65122739,symptom,症状,Q169872,Primary hyperchylomicronemia,,,,,,,,C1535978
Q1072420,symptom,症状,Q169872,primary biliary cholangitis,原発性胆汁性肝硬変,liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts,,D008105,,,,C0008312
Q65213321,symptom,症状,Q169872,Eosinophilic sinusitis,,,,,,,,C3203546
