qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q599721,biomarker,バイオマーカー,Q11190,egosyntonicity,,psychoanalytic theory,,,,,,
Q639792,biomarker,バイオマーカー,Q11190,egodystonicity,自我異質的,generation of feelings or behaviours opposed to one's own sense of self,,,,,,
Q1640469,biomarker,バイオマーカー,Q11190,Sanitation in ancient Rome,古代ローマの衛生,sanitation in ancient Rome was well advanced compared to other ancient cities,,,,,,
Q940923,biomarker,バイオマーカー,Q11190,psychodynamics,精神力動,approach to psychology,,,,,,
Q183472,biomarker,バイオマーカー,Q11190,itai-itai disease,イタイイタイ病,Japanese epidemic of cadmium poisoning,未処理廃水によるカドミウム過剰摂取状態で長期間生活してた婦中町(現:富山市)の農業従事者に発生していた公害病,,,,,
Q1498375,biomarker,バイオマーカー,Q11190,countertransference,逆転移,relational aspect of psychoanalysis,,D003379,,,,C0010219
Q657277,biomarker,バイオマーカー,Q11190,primal scene,原光景,fantasy by a child of a sex act between parents,,,,,,
Q5690357,biomarker,バイオマーカー,Q11190,HealthBridge,,"non-profit organisation in Cincinnati, Ohio",,,,,,
Q5101975,biomarker,バイオマーカー,Q11190,Chiroplasty,,,,,,,,
Q5276102,biomarker,バイオマーカー,Q11190,Digital mammography,,,,,,,,
Q7695702,biomarker,バイオマーカー,Q11190,tele-audiology,,use of telemedicine to provide audiological services,,,,,,
Q10534642,biomarker,バイオマーカー,Q11190,imago relationship therapy,,therapy practive concerning relationships,,,,,,
Q738728,biomarker,バイオマーカー,Q11190,penis envy,ペニス羨望,"in Freudian psychoanalysis, the female psychosexual developmental stage when young girls experience anxiety upon realizing that they lack a penis; begins the transition from attachment to the mother to competition with the mother for the father",,,,,,
Q4284220,biomarker,バイオマーカー,Q11190,1971 Iraq poison grain disaster,イラク穀物水銀中毒事件,Incident of mass poisoning in Iraq in 1971,,,,,,
Q1962848,biomarker,バイオマーカー,Q11190,afterwardsness,,"concept of Freudian psychoanalysis, popularized by Lacan",,,,,,
Q1551784,biomarker,バイオマーカー,Q11190,solar water disinfection,太陽水殺菌,portable water purification powered by sunlight,太陽光による携帯型浄水方法,,,,,
Q8071124,biomarker,バイオマーカー,Q11190,thallium poisoning case of Zhu Ling,清華大学女子学生タリウム中毒事件,unsolved 1995 thallium poisoning case in China,,,,,,
Q7850849,biomarker,バイオマーカー,Q11190,Tuberculosis radiology,,radiology used in the diagnosis of tuberculosis,,,,,,
Q17590937,biomarker,バイオマーカー,Q11190,Permutationally invariant quantum state tomography,,efficient reconstruction of quantum states based on measurements,,,,,,
Q6094427,biomarker,バイオマーカー,Q11190,iterative reconstruction,画像再構成,,,,,,,
Q1735503,biomarker,バイオマーカー,Q11190,castration anxiety,去勢不安,fear of emasculation in both the literal and metaphorical sense,,D001009,,,,C0003476
Q1181948,biomarker,バイオマーカー,Q11190,screen memory,,"in Freudian theories, distorted memory, generally of a visual rather than verbal nature, deriving from childhood",,,,,,
Q121176,biomarker,バイオマーカー,Q11190,nursing,看護,caring for people who are sick or injured,医療および健康的な生活の衛生や保健による支援,D009729,,,,C0028677
Q905763,biomarker,バイオマーカー,Q11190,fast low angle shot magnetic resonance imaging,,pulse sequence used in magnetic resonance imaging (MRI),,,,,,
Q7187703,biomarker,バイオマーカー,Q11190,photoacoustic tomography,,form of tomography,,,,,,
Q8065799,biomarker,バイオマーカー,Q11190,Zamfara State lead poisoning epidemic,,2010 lead poisoning incidents in Nigeria,,,,,,
Q1084257,biomarker,バイオマーカー,Q11190,serostatus,,situation of presence or absence of a serological marker in the blood,,,,,,
Q11682782,biomarker,バイオマーカー,Q11190,fetal radiography,,medical imaging in pregnancy,,,,,,
Q123146143,biomarker,バイオマーカー,Q11190,Mini dental implant,,,,,,,,
Q132431095,biomarker,バイオマーカー,Q11190,PX1,,handheld backscatter X-ray scanner or imager 140keV,,,,,,
Q132530070,biomarker,バイオマーカー,Q11190,PX Ultra,,handheld backscatter X-ray scanner or imager 160keV,,,,,,
Q132531873,biomarker,バイオマーカー,Q11190,PXT,,handheld transmission X-ray imager 140keV,,,,,,
Q115834676,biomarker,バイオマーカー,Q11190,bath in magic milk rejuvenates,,narrative motif documented in Thompson's Motif-Index of Folk-Literature,,,,,,
Q115836235,biomarker,バイオマーカー,Q11190,"bath in milk of white, hornless cows as antidote for poison",,narrative motif documented in Thompson's Motif-Index of Folk-Literature,,,,,,
Q115844840,biomarker,バイオマーカー,Q11190,bath in blood of king as cure for mange,,narrative motif documented in Thompson's Motif-Index of Folk-Literature,,,,,,
Q115850752,biomarker,バイオマーカー,Q11190,bath in blood of king as remedy,,narrative motif documented in Thompson's Motif-Index of Folk-Literature,,,,,,
Q136388773,biomarker,バイオマーカー,Q11190,zygomatic implantation,,,,,,,,
Q134006825,biomarker,バイオマーカー,Q11190,Internship placement for health professionals in Nigeria,,health training in Nigeria,,,,,,
Q117201624,biomarker,バイオマーカー,Q11190,bath of blood,,narrative motif documented in Thompson's Motif-Index of Folk-Literature,,,,,,
Q117201771,biomarker,バイオマーカー,Q11190,blood-bath as cure for leprosy,,narrative motif documented in Thompson's Motif-Index of Folk-Literature,,,,,,
Q117201553,biomarker,バイオマーカー,Q11190,remarkably hot spear must be kept in bath of blood (poison),,narrative motif documented in Thompson's Motif-Index of Folk-Literature,,,,,,
Q117203727,biomarker,バイオマーカー,Q11190,"bath of blood of dragons, lions, adders, etc",,narrative motif documented in Thompson's Motif-Index of Folk-Literature,,,,,,
Q52862,biomarker,バイオマーカー,Q11190,podology,足病学,study of the foot,,,,,,
Q131302459,biomarker,バイオマーカー,Q11190,hearing loss in children,,"partial or total reduction in hearing ability in children, impacting communicative and social development",,,,,,
Q120201604,biomarker,バイオマーカー,Q11190,Zirconia dental implant,,,,,,,,
Q1381119,biomarker,バイオマーカー,Q11190,ritual purity in Islam,,essential aspect of cleanliness in Islam,,,,,,
Q26838173,biomarker,バイオマーカー,Q11190,fecal sludge management,屎尿汚泥管理,"collection, transport, and treatment of fecal sludge from pit latrines, septic tanks or other onsite sanitation systems",,,,,,
Q3656213,biomarker,バイオマーカー,Q11190,womb envy,,emotion in men brought about by their lack of the female biologic capabilities,,,,,,
Q98967588,biomarker,バイオマーカー,Q11190,Lüfteranlage,,building in Germany,,,,,,
Q65303989,biomarker,バイオマーカー,Q11190,phylogeny,,"in psychoanalysis, study of the whole family or species of an organism in order to better understand the pre-history",,,,,,
Q2470056,biomarker,バイオマーカー,Q11190,foreclosure,,concept in Lacanian psychoanalysis,,,,,,
Q17076790,biomarker,バイオマーカー,Q11190,Global Alliance on Health and Pollution,,organization,,,,,,
Q10370591,biomarker,バイオマーカー,Q11190,Serviço Autônomo de Água e Esgoto de Campo Maior,,"state-owned company of water and sanitation of Campo Maior, Piauí, Brazil",,,,,,
Q6406075,biomarker,バイオマーカー,Q11190,bathhouse,,public establishment dedicated to hygiene,,,,,,
Q65033207,biomarker,バイオマーカー,Q11190,Guardanapos (9),,item of the collection of toys of the Museu Paulista,,,,,,
Q65033209,biomarker,バイオマーカー,Q11190,Toalha com 8 Guardanapos,,item of the collection of toys of the Museu Paulista,,,,,,
Q2338620,biomarker,バイオマーカー,Q11190,kinesiotherapy,,therapeutic treatment of disease by passive and active muscular movements and of exercise,,,,,,
Q3454445,biomarker,バイオマーカー,Q11190,mental reality,,,,,,,,
Q3475609,biomarker,バイオマーカー,Q11190,Schema L,,,,,,,,
Q5731747,biomarker,バイオマーカー,Q11190,Madonna–whore complex,,"inability to maintain sexual arousal within a committed, loving relationship",,,,,,
Q4741959,biomarker,バイオマーカー,Q11190,ambulatory care nursing,,,,,,,,
Q4819926,biomarker,バイオマーカー,Q11190,Audioprosthology,,,,,,,,
Q4914894,biomarker,バイオマーカー,Q11190,Bioheat transfer,,,,,,,,
Q4936581,biomarker,バイオマーカー,Q11190,Bodies in the space environment,,,,,,,,
Q3798492,biomarker,バイオマーカー,Q11190,military nursing,従軍看護,practice of nursing in military environments,,D008888,,,,
Q11496091,biomarker,バイオマーカー,Q11190,Disposal of zoo animals during wartime,戦時猛獣処分,,戦争時に行われた動物の殺処分,,,,,
Q19609168,biomarker,バイオマーカー,Q11190,Companhia de Água e Esgoto do Ceará,,public water and sanitation company,,,,,,
Q2305304,biomarker,バイオマーカー,Q11190,self psychology,自己心理学,school of psychoanalysis,,D019455,,,,C0302834
Q952852,biomarker,バイオマーカー,Q11190,enterostomal therapy,,,,,,,,
Q1977685,biomarker,バイオマーカー,Q11190,Neo-Freudianism,新フロイト派,psychoanalytic approach,,,,,,
Q30310416,biomarker,バイオマーカー,Q11190,Histopathology of cholesteatoma,,,,,,,,
Q98823924,biomarker,バイオマーカー,Q11190,"Cocktail Napkin produced for ""Museum as Muse"", Museum of Modern Art, New York City",,"napkin by Louise Lawler (MET, 2014.679.37)",,,,,,
Q1741837,biomarker,バイオマーカー,Q11190,pediatric nursing,小児看護,nursing specialty concerning care of children from birth to adolescence,,D010371,,,,C0030753
Q380141,biomarker,バイオマーカー,Q11190,occupational therapy,作業療法,therapy to increase skills related to work or independent living,,D009788,,,,C1318464
Q70373167,biomarker,バイオマーカー,Q11190,hand disinfection,,cleansing the hands to destroy infectious microorganism,,D006235,,,,
Q9830582,biomarker,バイオマーカー,Q11190,Companhia Pernambucana de Saneamento,,public sanitation and water supply company in the state of Pernambuco,,,,,,
Q66459381,biomarker,バイオマーカー,Q11190,Christ washing the Disciples' feet,,biblical episode and artistic theme,,,,,,
Q1553887,biomarker,バイオマーカー,Q11190,Karlbad,,bath in Carinthia,,,,,,
Q95994337,biomarker,バイオマーカー,Q11190,Qing queues in collections,,Cut off qing queues in heritage collections,,,,,,
Q3333476,biomarker,バイオマーカー,Q11190,paternal metaphor,,concept in Lacanian psychoanalysis,,,,,,
Q5092875,biomarker,バイオマーカー,Q11190,Chesapeake Regional Information System for our Patients,,"health information exchange in Maryland, US",,,,,,
Q11187649,biomarker,バイオマーカー,Q11190,3DS,3DS,preventive caries treatment,,,,,,
Q30680599,biomarker,バイオマーカー,Q11190,Container-based sanitation,,"sanitation system where toilets collect human excreta in sealable, removable containers",,,,,,
Q91493633,biomarker,バイオマーカー,Q11190,Wikipedia coverage of the COVID-19 pandemic,ウィキペディアとCOVID-19パンデミック,coverage of the COVID-19 pandemic in Wikimedia projects,,,,,,
Q111592146,biomarker,バイオマーカー,Q11190,Anterior chamber paracentesis,,Surgical procedure to reduce intraocular pressure of the eye,,,,,,
Q111592747,biomarker,バイオマーカー,Q11190,Cyclodestruction,,Surgical procedure to reduce intraocular pressure of the eye,,,,,,
Q108045226,biomarker,バイオマーカー,Q11190,psychoacoustic assessment of tinnitus,,evaluation to characterize the parameters of tinnitus perception,,,,,,
Q3503353,biomarker,バイオマーカー,Q11190,subject of the unconscious,,concept in Lacanian psychoanalysis,,,,,,
Q111271460,biomarker,バイオマーカー,Q11190,Barium enema,,,,,,,,
Q45088522,biomarker,バイオマーカー,Q11190,Nickstabadet,,"public beach Nynäshamn, Sweden",,,,,,
Q18398005,biomarker,バイオマーカー,Q11190,psychosomatic phenomenon,,physical symptom that is supposed to be the product of a mental illness,,,,,,
Q205398,biomarker,バイオマーカー,Q11190,social work,社会福祉援助技術,academic discipline and profession,民間のボランタリーな活動であり、あらゆる国家や思想、権力、組織などから独立した学問を基礎とする実践,D012947,,,,C0037441
Q5712462,biomarker,バイオマーカー,Q11190,autoeroticism,,psychoanalysis,,,,,,
Q3578132,biomarker,バイオマーカー,Q11190,Togo National School of Paramedics,,First and largest normative and academic training centre for paramedics in Togo.,,,,,,
Q106208563,biomarker,バイオマーカー,Q11190,Guardanapo 01,,object that integrates the Museu Paulista collection (1-07-05-000-11547-02-07),,,,,,
Q106208566,biomarker,バイオマーカー,Q11190,Guardanapo 04,,object that integrates the Museu Paulista collection (1-07-05-000-11547-05-07),,,,,,
Q106208567,biomarker,バイオマーカー,Q11190,Guardanapo 05,,object that integrates the Museu Paulista collection (1-07-05-000-11547-06-07),,,,,,
Q106208564,biomarker,バイオマーカー,Q11190,Guardanapo 02,,object that integrates the Museu Paulista collection (1-07-05-000-11547-03-07),,,,,,
Q106208565,biomarker,バイオマーカー,Q11190,Guardanapo 03,,object that integrates the Museu Paulista collection (1-07-05-000-11547-04-07),,,,,,
Q106208570,biomarker,バイオマーカー,Q11190,Guardanapo,,object that integrates the Museu Paulista collection (1-07-05-000-11556-03-13),,,,,,
