qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24719742,cell type,細胞型,Q7644128,EAR,,InterPro Repeat,,,,,,
Q3266476,cell type,細胞型,Q7644128,Beta-propeller,βプロペラドメイン,Toroid protein structure formed from beta sheets,,,,,,
Q103840339,cell type,細胞型,Q7644128,KNL1 MELT repeat,,InterPro motif,,,,,,
Q103840410,cell type,細胞型,Q7644128,Plasmodium repeat of length 46,,InterPro motif,,,,,,
Q103840600,cell type,細胞型,Q7644128,Repeat of unknown function DUF5650,,InterPro motif,,,,,,
Q103840796,cell type,細胞型,Q7644128,Repeat of unknown function DUF5648,,InterPro motif,,,,,,
Q103840902,cell type,細胞型,Q7644128,Repeats of unknown function DUF5649,,InterPro motif,,,,,,
Q903650,cell type,細胞型,Q7644128,Coiled coil,コイルドコイル,structural motif in proteins,,,,,,
Q7837800,cell type,細胞型,Q7644128,Trefoil knot fold,三葉結び目フォールド,type of protein fold that makes a trefoil knot,,,,,,
Q204785,cell type,細胞型,Q7644128,zinc finger,ジンクフィンガー,small structural protein motif found mostly in transcriptional genes,,D016335,,,,C0080347
Q7643415,cell type,細胞型,Q7644128,superhelix,,structural motif in macromolecules,,,,,,
Q487869,cell type,細胞型,Q7644128,Beta helix,βヘリックス,protein structure,タンパク質の二次構造のひとつ,,,,,
Q7090047,cell type,細胞型,Q7644128,Omega loop,Ωループ,Protein structual motif,,,,,,
Q110194767,cell type,細胞型,Q7644128,"Wolframin, Sel1-like repeat",,InterPro motif,,,,,,
Q110195487,cell type,細胞型,Q7644128,Repeat of unknown function DUF5907,,InterPro motif,,,,,,
Q110196069,cell type,細胞型,Q7644128,ALTTAQ repeat,,InterPro motif,,,,,,
Q18391800,cell type,細胞型,Q7644128,ST motif,,,,,,,,
Q24719559,cell type,細胞型,Q7644128,"Filamentous haemagglutinin, 20-residue x2 repeat",,InterPro Repeat,,,,,,
Q24719528,cell type,細胞型,Q7644128,Nebulin repeat,,InterPro Repeat,,,,,,
Q24719888,cell type,細胞型,Q7644128,Protein of unknown function DUF963,,InterPro Repeat,,,,,,
Q24720304,cell type,細胞型,Q7644128,HGWP repeat,,InterPro Repeat,,,,,,
Q24720336,cell type,細胞型,Q7644128,PXPV repeat,,InterPro Repeat,,,,,,
Q24720540,cell type,細胞型,Q7644128,Leucine-rich repeat 2,,InterPro Repeat,,,,,,
Q24774037,cell type,細胞型,Q7644128,Ehrlichia tandem repeat,,InterPro Repeat,,,,,,
Q24773766,cell type,細胞型,Q7644128,Myxococcus cysteine-rich repeat,,InterPro Repeat,,,,,,
Q24774192,cell type,細胞型,Q7644128,Fibronectin binding repeat,,InterPro Repeat,,,,,,
Q24774179,cell type,細胞型,Q7644128,Insect antifreeze protein motif,,InterPro Repeat,,,,,,
Q24774294,cell type,細胞型,Q7644128,Furin-like repeat,,InterPro Repeat,,,,,,
Q24774680,cell type,細胞型,Q7644128,"Cofactor-binding repeat, putative",,InterPro Repeat,,,,,,
Q24774590,cell type,細胞型,Q7644128,"HEAT, type 2",,InterPro Repeat,,,,,,
