qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q425681,enzyme,酵素,Q59199015,(RS)-lenalidomide,レナリドミド,pair of enantiomers,,D000077269,,,,C1144149
Q356138,enzyme,酵素,Q59199015,5'-adenylyl sulfate,,chemical compound,,D000250,,,,C0001468
Q335208,enzyme,酵素,Q59199015,D-mannopyranose,マンノース,group of stereoisomers,,D008358,,,,
Q415418,enzyme,酵素,Q59199015,ethyl DL-lactate,乳酸エチル,group of enantiomers,,,,,,
Q18745,enzyme,酵素,Q59199015,potassium hydrogen tartrate,酒石酸水素カリウム,potassium acid salt of tartaric acid,,,,,,
Q1031057,enzyme,酵素,Q59199015,camphor oxime,,chemical compound,,,,,,
Q1050019,enzyme,酵素,Q59199015,carbenicillin,カルベニシリン,chemical compound,,D002228,,,,C0006976
Q1169561,enzyme,酵素,Q59199015,metolazone,メトラゾン,group of stereoisomers,,D008788,,,,
Q424208,enzyme,酵素,Q59199015,endosulfan,エンドスルファン,group of stereoisomers,,D004726,,,,
Q1020557,enzyme,酵素,Q59199015,"DL-glyceric acid 1,3-biphosphate","1,3-ビスホスホグリセリン酸",group of stereoisomers,,,,,,
Q1052672,enzyme,酵素,Q59199015,cefpodoxime proxetil,,chemical compound,,D000097627,,,,C0108938
Q415454,enzyme,酵素,Q59199015,decalin,デカヒドロナフタレン,pair of cis–trans isomers,,,,,,
Q424751,enzyme,酵素,Q59199015,(RS)-eflornithine,エフロルニチン,group of stereoisomers,,D000518,,,,C0002260
Q1147419,enzyme,酵素,Q59199015,"(5S)-5-methyl-1-oxidanylidene-1,4-thiazinane-2-carboxylic acid",,group of stereoisomers,,,,,,
Q415150,enzyme,酵素,Q59199015,bifenthrin,ビフェントリン,chemical compound,,,,,,
Q1153847,enzyme,酵素,Q59199015,DIOP,,chemical compound,,,,,,
Q282316,enzyme,酵素,Q59199015,methylenedioxypropargylamphetamine,,chemical compound,,,,,,
Q283499,enzyme,酵素,Q59199015,disodium DL-tartrate,,group of stereoisomers,,,,,,
Q423956,enzyme,酵素,Q59199015,γ-decalactone,γ-デカラクトン,chemical compound,,,,,,
Q312229,enzyme,酵素,Q59199015,(RS)-thioctic acid,α-リポ酸,pair of enantiomers,,D008063,,,,C0023791
Q327506,enzyme,酵素,Q59199015,D-glucosamine,グルコサミン,chemical compound,アミノ糖のひとつ,,,,,
Q284963,enzyme,酵素,Q59199015,zirconium lactate,,group of stereoisomers,,,,,,
Q268997,enzyme,酵素,Q59199015,procyclidine,プロシクリジン,group of stereoisomers,,D011352,,,,C0033254
Q1060922,enzyme,酵素,Q59199015,(RS)-oxybutynin,オキシブチニン,bladder medication,,C005419,,,,C0069805
Q424871,enzyme,酵素,Q59199015,mersalyl,,chemical compound,,D008634,,,,
Q1165293,enzyme,酵素,Q59199015,(RS)-thiocolchicoside,,chemical compound,,,,,,
Q424979,enzyme,酵素,Q59199015,octopamine,オクトパミン,group of stereoisomers,,D009655,,,,C0028403
Q415476,enzyme,酵素,Q59199015,fenethylline hydrochloride,,group of stereoisomers,,,,,,
Q12144,enzyme,酵素,Q59199015,nicotine,ニコチン,group of stereoisomers,,,,,,
Q342108,enzyme,酵素,Q59199015,aconitine,アコニチン,chemical compound,,D000157,,,,C0001159
Q1213574,enzyme,酵素,Q59199015,N-Methylconiine,N-メチルコニイン,group of stereoisomers,,,,,,
Q1148372,enzyme,酵素,Q59199015,cyproconazole,,chemical compound,,,,,,
Q282629,enzyme,酵素,Q59199015,vinblastine,ビンブラスチン,chemical compound,抗悪性腫瘍剤の一つ,D014747,,,,
Q424248,enzyme,酵素,Q59199015,pyranose,ピラノース,class of chemical compounds,,,,,,
Q424952,enzyme,酵素,Q59199015,nadolol,ナドロール,non-selective beta blocker used in the treatment of high blood pressure and chest pain,,D009248,,,,
Q1178948,enzyme,酵素,Q59199015,mesopram,,chemical compound,,,,,,
Q338762,enzyme,酵素,Q59199015,(E)-ajoene,アホエン,chemical compound,,,,,,
Q1181702,enzyme,酵素,Q59199015,decahydroquinoline,,group of stereoisomers,,,,,,
Q425293,enzyme,酵素,Q59199015,fosinopril,,mixture of stereoisomers,,D017328,,,,
