qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q913459,fungus,真菌,Q764,Amanita vaginata,ツルタケ,species of fungus,,,,,,C0319656
Q95573369,fungus,真菌,Q764,Amanita shennongjiana,,species of fungi in the genus Amanita,,,,,,
Q1615505,fungus,真菌,Q764,Amanita subjunquillea,タマゴタケモドキ,species of fungus,,,,,,
Q2422232,fungus,真菌,Q764,Entoloma rhodopolium,クサウラベニタケ,poisonous mushroom found in Europe and Asia,,,,,,
Q188643,fungus,真菌,Q764,Amanita phalloides,タマゴテングタケ,species of fungus,テングダケ科テングダケ属のキノコ,,,,,C0319646
Q104858993,fungus,真菌,Q764,Lactifluus piperatus,,species of fungi in the genus Lactifluus,,,,,,C1029045
Q276267,fungus,真菌,Q764,Thelephora palmata,,species of clavarioid fungus in the family Thelephoraceae,,,,,,C1062109
Q857903,fungus,真菌,Q764,cartwtereementas de mitas,クロラッパタケ,species of edible fungus,アンズタケ科のキノコ,,,,,C0319765
Q29388326,fungus,真菌,Q764,Jewel mould-AO 19286,,Jewel mould of the mid- to late-Bronz Age Ugarit,,,,,,
Q10433846,fungus,真菌,Q764,Botryosphaeria stevensii,,species of fungus,,,,,,
Q7616504,fungus,真菌,Q764,stigmatomycosis,,fungal disease affecting plants,,,,,,
Q188749,fungus,真菌,Q764,Cantharellus cibarius,アンズタケ,species of fungus,アンズタケ科のキノコの一種,,,,,
Q10448107,fungus,真菌,Q764,Chalara fraxinea,,species of fungus (anamorph),,,,,,
Q1276522,fungus,真菌,Q764,Russula aurea,,species of fungus,,,,,,
Q3914274,fungus,真菌,Q764,Spathularia flavida,,species of fungus,,,,,,
Q1963756,fungus,真菌,Q764,Coltricia perennis,,species of fungus,,,,,,C1008846
Q113613654,fungus,真菌,Q764,new flora of fungi for the easy determination of all species in France,,Book published in 1891 by Costantin & Dufour,,,,,,
Q463451,fungus,真菌,Q764,Flor,,winemaking term,,,,,,
Q1424216,fungus,真菌,Q764,Entoloma sinuatum,イッポンシメジ,species of fungus,,,,,,
Q1549503,fungus,真菌,Q764,Macromycetes,,informal group of Fungi,,,,,,
Q123693371,fungus,真菌,Q764,Gymnopilus ianthinilophus,,fungus found in Brazil,,,,,,
Q1586855,fungus,真菌,Q764,Russula risigallina,,species of fungus,,,,,,C1202564
Q614625,fungus,真菌,Q764,Russula emetica,ドクベニタケ,species of fungus,,,,,,
Q752497,fungus,真菌,Q764,Imleria badia,ニセイロガワリ,species of fungus,,,,,,C1006023
Q1323740,fungus,真菌,Q764,Russula aeruginea,,species of fungus,,,,,,
Q948871,fungus,真菌,Q764,Cortinarius traganus,,species of fungus,,,,,,C1028093
Q2097372,fungus,真菌,Q764,Russula acrifolia,,species of fungus,,,,,,
Q865501,fungus,真菌,Q764,Kōji,麹,fermentation starter,日本など主に東アジア圏で普遍的な食品発酵の材料,,,,,
Q2411973,fungus,真菌,Q764,Brettanomyces,ブレタノマイセス属,genus of fungi (anamorph),,D055168,,,,C1000653
Q10702739,fungus,真菌,Q764,Trichoderma minutisporum,,species of fungus,,,,,,
Q105602367,fungus,真菌,Q764,Descolea quercina,,species of fungus,,,,,,
Q677341,fungus,真菌,Q764,Russula virescens,アイタケ,species of fungus,,,,,,C1028847
Q103817219,fungus,真菌,Q764,Septoria tritici,,,,,,,,
Q246696,fungus,真菌,Q764,Russula cyanoxantha,,species of fungus,,,,,,C0997614
Q1210127,fungus,真菌,Q764,Scleroderma citrinum,,species of fungus,,,,,,
Q96756698,fungus,真菌,Q764,mead yeast,,yeast produced during the fermentation of a honey water mixture to mead,,,,,,
Q580098,fungus,真菌,Q764,Russula betularum,,species of fungus,,,,,,
Q81164233,fungus,真菌,Q764,Amanita fulvoides,,species of fungi in the genus Amanita,,,,,,
Q54366315,fungus,真菌,Q764,Diplodia mutila,,species of fungus,,,,,,C3453963
Q2714680,fungus,真菌,Q764,Hygrophorus russula,サクラシメジ,species of fungus,ヌメリガサ科のキノコ,,,,,C0319668
Q843177,fungus,真菌,Q764,Russula delica,シロハツ,species of fungus,,,,,,
Q67112501,fungus,真菌,Q764,Kveik,,Norwegian style of yeast and beer,,,,,,
Q597340,fungus,真菌,Q764,Laccaria laccata,キツネタケ,Common white spored mushroom also known as The Deceiver,ヒドナンギウム科のキノコ,,,,,C0319701
Q113988,fungus,真菌,Q764,Russula vinosa,,species of fungus,,,,,,
