qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q92594,hormone,ホルモン,Q178593,Opsin 4,メラノプシン,mammalian protein found in Homo sapiens,,,,,,
Q5054717,hormone,ホルモン,Q178593,cauxin,,protein in Felis catus,,,,,,
Q3645271,hormone,ホルモン,Q178593,Fruit bromelain,,enzyme found in the fruit of the pineapple plant,,,,,,
Q904895,hormone,ホルモン,Q178593,carboxylase,,,,,,,,
Q11008649,hormone,ホルモン,Q178593,parainfluenza hemagglutinin-neuraminidase,,type of hemagglutinin-neuraminidase,,,,,,
Q242310,hormone,ホルモン,Q178593,bacteriorhodopsin,バクテリオロドプシン,a protein acting as a light-driven proton pump,,,,,,
Q12905982,hormone,ホルモン,Q178593,endothiapepsin,エンドチアペプシン,,,,,,,
Q10853506,hormone,ホルモン,Q178593,Ribonuclease Phyb,,enzyme in Physarum polycephalum,,,,,,
Q5512921,hormone,ホルモン,Q178593,GBA2,,enzyme that in humans is encoded by the GBA2 gene,,,,,,
Q2282887,hormone,ホルモン,Q178593,HBsAg,,surface antigen of the hepatitis B virus,,,,,,
Q11056551,hormone,ホルモン,Q178593,Immobilized Enzyme Reactor System,,,,,,,,
Q21400335,hormone,ホルモン,Q178593,Methylpurine-DNA glycosylase AlkD,,enzyme in Bacillus cereus,,,,,,
Q78345506,hormone,ホルモン,Q178593,"interferon-stimulated gene factor 3, gamma subunit",,interferon regulatory factor that functions as an immediate-early protein,,D050834,,,,C0378700
Q411507,hormone,ホルモン,Q178593,"Cytochrome P450, family 21, subfamily A, polypeptide 2",ステロイド-21-モノオキシゲナーゼ,human protein (annotated by UniProtKB/TrEMBL Q08AG9),,,,,,
Q6546700,hormone,ホルモン,Q178593,Ligninase,,,,,,,,
Q7115077,hormone,ホルモン,Q178593,Oxaloacetase,オキサロアセターゼ,enzyme,,,,,,
Q6714440,hormone,ホルモン,Q178593,MAP kinase phosphatase,,,,,,,,
Q17093745,hormone,ホルモン,Q178593,ICP8,,,,,,,,
Q100786862,hormone,ホルモン,Q178593,LmαTX5,,scorpion toxin,,,,,,
Q3461242,hormone,ホルモン,Q178593,Saf,,enzyme,,,,,,
Q5629605,hormone,ホルモン,Q178593,HHV capsid portal protein,,,,,,,,
Q411288,hormone,ホルモン,Q178593,tetanospasmin,テタノスパスミン,chemical compound,,D013744,,,,
Q305481,hormone,ホルモン,Q178593,glutamic-pyruvic transaminase,アラニントランスアミナーゼ,mammalian protein found in Homo sapiens,酵素の一つ,D000410,,,,
Q58622761,hormone,ホルモン,Q178593,fragile X mental retardation protein,,"RNA-binding protein found predominantly in the cytoplasm, absent or under-expressed in Fragile X syndrome",,D051860,,,,C0118036
Q17144900,hormone,ホルモン,Q178593,VPg,,viral protein,,,,,,
Q15997127,hormone,ホルモン,Q178593,serine dehydratase,,enzyme,,D012695,,,,C0036723
Q1026649,hormone,ホルモン,Q178593,Intestinal-type alkaline phosphatase,仔ウシ腸由来アルカリホスファターゼ,protein in Bos taurus,,,,,,
Q18053314,hormone,ホルモン,Q178593,SENP5,,protein-coding gene in the species Homo sapiens,,,,,,C1428705
Q76938089,hormone,ホルモン,Q178593,myeloid differentiation factor 88,,intracellular signaling adaptor protein,,D053594,,,,C0286648
Q7276700,hormone,ホルモン,Q178593,RHAU,,"enzyme, duplicate en-WP",,,,,,
Q7670065,hormone,ホルモン,Q178593,TEV protease,TEVプロテアーゼ,highly specific protease,,,,,,
Q74581,hormone,ホルモン,Q178593,Growth differentiation factor 15,,mammalian protein found in Homo sapiens,,D055436,,,,C0668195
Q3775177,hormone,ホルモン,Q178593,M-phase inducer phosphatase,Cdc25,enzyme in S. pombe,,,,,,
Q11233057,hormone,ホルモン,Q178593,Mesp1,Mesp1,Type of transcription factor,,,,,,
Q12501561,hormone,ホルモン,Q178593,P43,,transcription factor,,,,,,
Q9081246,hormone,ホルモン,Q178593,TNK1,,enzyme,,,,,,
Q123045,hormone,ホルモン,Q178593,Brain derived neurotrophic factor,脳由来神経栄養因子,mammalian protein found in Homo sapiens,,,,,,
