qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q492918,medical device,医療機器,Q12139612,Siding Spring Survey,サイディング・スプリングサーベイ,near-Earth object search program,,,,,,
Q62917,medical device,医療機器,Q12139612,Hubble eXtreme Deep Field,ハッブル・エクストリーム・ディープ・フィールド,multiple exposure image of deep space in the constellation Fornax,,,,,,
Q251609,medical device,医療機器,Q12139612,bibliography of music literature,,international bibliography of literature on music,,,,,,
Q814731,medical device,医療機器,Q12139612,Beijing Schmidt CCD Asteroid Program,北京天文台CCD小惑星観測プログラム,1990s astronomical survey in China,,,,,,
Q432287,medical device,医療機器,Q12139612,Virginia Woolf bibliography,,bibliography of works by the English novelist and essayist Virginia Woolf,,,,,,
Q254237,medical device,医療機器,Q12139612,VD 17,,German bibliography project (17th century prints),,,,,,
Q76979,medical device,医療機器,Q12139612,Agatha Christie bibliography,アガサ・クリスティの著作一覧,list of works by Agatha Christie,ウィキメディアの一覧記事,,,,,
Q490299,medical device,医療機器,Q12139612,Charles Sanders Peirce bibliography,,bibliography,,,,,,
Q1683643,medical device,医療機器,Q12139612,UKIRT Infrared Deep Sky Survey,,,,,,,,
Q634670,medical device,医療機器,Q12139612,Incunabula Short Title Catalogue,揺籃期本短題目録,bibliographic database,書誌学のデータベース,,,,,
Q213563,medical device,医療機器,Q12139612,Spacewatch,スペースウォッチ,University of Arizona project for study of minor planets and comets,,,,,,
Q840332,medical device,医療機器,Q12139612,Sloan Digital Sky Survey,スローン・デジタル・スカイサーベイ,multi-spectral imaging and spectroscopic redshift survey,,,,,,
Q1056048,medical device,医療機器,Q12139612,H. P. Lovecraft bibliography,ラヴクラフト作品一覧,author bibliography,ウィキメディアの一覧記事,,,,,
Q1129889,medical device,医療機器,Q12139612,Notes and Queries,ノーツ・アンド・クエリーズ,journal,イギリスの学術雑誌,,,,,
Q485184,medical device,医療機器,Q12139612,Analytic Bibliography of Online Neo-Latin Texts,,,,,,,,
Q76977,medical device,医療機器,Q12139612,Isaac Asimov bibliography,,list of works,,,,,,
Q1661301,medical device,医療機器,Q12139612,Indiana Asteroid Program,インディアナ小惑星計画,,1949年～1967年にインディアナ州のゲーテ・リンク天文台で実施された小惑星観測プログラム,,,,,
Q842213,medical device,医療機器,Q12139612,Anton Chekhov bibliography,,list of works,,,,,,
Q794588,medical device,医療機器,Q12139612,bibliography on Empedocles,,,,,,,,
Q126519151,medical device,医療機器,Q12139612,Aholming parish church register volume 1,,parish register of the Roman Catholic parish of Aholming from 1639 to 1693,,,,,,
Q126519154,medical device,医療機器,Q12139612,Aholming parish church register volume 4,,parish register of the Roman Catholic parish of Aholming from 1712 to 1780,,,,,,
Q126519155,medical device,医療機器,Q12139612,Aholming parish church register volume 5,,parish register of the Roman Catholic parish of Aholming from 1781 to 1842,,,,,,
Q126519152,medical device,医療機器,Q12139612,Aholming parish church register volume 2,,parish register of the Roman Catholic parish of Aholming from 1651 to 1693,,,,,,
Q126519153,medical device,医療機器,Q12139612,Aholming parish church register volume 3,,parish register of the Roman Catholic parish of Aholming from 1693 to 1735,,,,,,
Q126519158,medical device,医療機器,Q12139612,Aholming parish church register volume 8,,parish register of the Roman Catholic parish of Aholming from 1874 to 1970,,,,,,
Q126519159,medical device,医療機器,Q12139612,Aholming parish church register volume 9,,parish register of the Roman Catholic parish of Aholming from 1693 to 1769,,,,,,
Q126519156,medical device,医療機器,Q12139612,Aholming parish church register volume 6,,parish register of the Roman Catholic parish of Aholming from 1842 to 1884,,,,,,
Q126519157,medical device,医療機器,Q12139612,Aholming parish church register volume 7,,parish register of the Roman Catholic parish of Aholming from 1653 to 1881,,,,,,
Q126519161,medical device,医療機器,Q12139612,Aholming parish church register volume 10,,parish register of the Roman Catholic parish of Aholming from 1770 to 1802,,,,,,
Q126519166,medical device,医療機器,Q12139612,Aholming parish church register volume 13,,parish register of the Roman Catholic parish of Aholming from 1667 to 1980,,,,,,
Q126519167,medical device,医療機器,Q12139612,Aholming parish church register volume 14,,parish register of the Roman Catholic parish of Aholming from 1667 to 1980,,,,,,
Q126519164,medical device,医療機器,Q12139612,Aholming parish church register volume 11,,parish register of the Roman Catholic parish of Aholming from 1802 to 1845,,,,,,
Q126519165,medical device,医療機器,Q12139612,Aholming parish church register volume 12,,parish register of the Roman Catholic parish of Aholming from 1845 to 1884,,,,,,
Q126519170,medical device,医療機器,Q12139612,Aholming parish church register volume 41,,parish register of the Roman Catholic parish of Aholming from 1885 to 2014,,,,,,
Q126519168,medical device,医療機器,Q12139612,Aholming parish church register volume 15,,parish register of the Roman Catholic parish of Aholming from 1804 to 1825,,,,,,
Q126519169,medical device,医療機器,Q12139612,Aholming parish church register volume 31,,parish register of the Roman Catholic parish of Aholming from 1885 to 1952,,,,,,
Q856340,medical device,医療機器,Q12139612,Bibliographie der französischen Literaturwissenschaft,,,,,,,,
Q1162264,medical device,医療機器,Q12139612,Hungarian Scientific Bibliography,ハンガリー科学書誌,,,,,,,
Q330047,medical device,医療機器,Q12139612,J. R. R. Tolkien bibliography,中つ国関連の文献一覧,all published works of the English writer and philologist J. R. R. Tolkien,,,,,,
Q11310550,medical device,医療機器,Q12139612,Johto Pokédex,ジョウト順のポケモン一覧,,,,,,,
Q763848,medical device,医療機器,Q12139612,William Shakespeare bibliography,,Wikimedia list article,ウィキメディアの一覧記事,,,,,
Q846596,medical device,医療機器,Q12139612,WorldCat,WorldCat,international union library catalog,世界の図書館の蔵書を目録化した総合目録,,,,,
Q392437,medical device,医療機器,Q12139612,Cordoba Durchmusterung,,star catalogue,,,,,,
Q429670,medical device,医療機器,Q12139612,Hubble Ultra-Deep Field,ハッブル・ウルトラ・ディープ・フィールド,multiple exposure image of deep space in the constellation Fornax,ハッブル宇宙望遠鏡による超深宇宙領域の探査,,,,,
Q445,medical device,医療機器,Q12139612,Bibliotheca universalis,ビブリオテカ・ウニヴェルサリス,"1545–49 listing of all the books printed in Latin, Greek, or Hebrew then known",,,,,,
Q407581,medical device,医療機器,Q12139612,Alexander Pushkin bibliography,,list of works,,,,,,
Q76981,medical device,医療機器,Q12139612,Stephen King bibliography,,Written works of Stephen King,,,,,,
Q240304,medical device,医療機器,Q12139612,The European Library,European Library,web service providing access to resources of national libraries across Europe,ヨーロッパ各地の国立図書館のリソースへのアクセスを提供するインターネットサービス,,,,,
Q124503539,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 3,,parish register of the Roman Catholic parish of Gottsdorf 1835 to 1896,,,,,,
Q124503536,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 1,,parish register of the Roman Catholic parish of Gottsdorf 1670 to 1792,,,,,,
Q124503537,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 2,,parish register of the Roman Catholic parish of Gottsdorf 1750 to 1834,,,,,,
Q124503542,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 5,,parish register of the Roman Catholic parish of Gottsdorf 1835 to 1956,,,,,,
Q124503543,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 6,,parish register of the Roman Catholic parish of Gottsdorf 1670 to 1834,,,,,,
Q124503540,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 4,,parish register of the Roman Catholic parish of Gottsdorf 1670 to 1834,,,,,,
Q124503546,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 9,,parish register of the Roman Catholic parish of Gottsdorf 1771 to 1783,,,,,,
Q124503545,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 7,,parish register of the Roman Catholic parish of Gottsdorf 1835 to 1891,,,,,,
Q124503548,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 10,,parish register of the Roman Catholic parish of Gottsdorf 1835 to 1984,,,,,,
Q124503554,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 11,,parish register of the Roman Catholic parish of Gottsdorf 1857 to 1984,,,,,,
Q124503555,medical device,医療機器,Q12139612,Gottsdorf parish church register volume 12,,parish register of the Roman Catholic parish of Gottsdorf 1892 to 1998,,,,,,
Q1759008,medical device,医療機器,Q12139612,OCA-DLR Asteroid Survey,OCA-DLR小惑星サーベイ,,小惑星探索用のサーベイ,,,,,
Q18086661,medical device,医療機器,Q12139612,Kanto Pokédex,カントーずかん,Pokémon entity,,,,,,
Q795475,medical device,医療機器,Q12139612,BATTeRS,BATTeRS,Japanese project to find asteroids,日本の小惑星探索プロジェクト,,,,,
Q18086671,medical device,医療機器,Q12139612,central Kalos Pokédex,セントラルカロスずかん,,,,,,,
Q18086665,medical device,医療機器,Q12139612,Hoenn Pokédex,ホウエン順のポケモン一覧,,,,,,,
Q18086666,medical device,医療機器,Q12139612,Sinnoh Pokédex,シンオウ順のポケモン一覧,,,,,,,
Q18086667,medical device,医療機器,Q12139612,Unova Pokédex,イッシュ順のポケモン一覧,,,,,,,
Q1666783,medical device,医療機器,Q12139612,International Near-Earth Asteroid Survey,,international aspect of the Planet-Crossing Asteroid Survey,,,,,,
Q124694701,medical device,医療機器,Q12139612,Parish of Waldkirchen Church register 3,,Roman Catholic church register of the parish of Waldkirchen in Lower Bavaria,,,,,,
Q860998,medical device,医療機器,Q12139612,Leo Tolstoy bibliography,,list of works by Russian writer Leo Tolstoy,ウィキメディアの一覧記事,,,,,
Q304286,medical device,医療機器,Q12139612,HIPASS,,astronomical survey for neutral atomic hydrogen,,,,,,
Q1785454,medical device,医療機器,Q12139612,Uppsala–ESO Survey of Asteroids and Comets,UESAC,project to find asteroids and comets,小惑星探索プロジェクト,,,,,
Q845735,medical device,医療機器,Q12139612,Durchmusterung,掃天星表,star catalogue,,,,,,
Q28037,medical device,医療機器,Q12139612,Franz Kafka bibliography,,bibliography of works by Franz Kafka,,,,,,
Q2048368,medical device,医療機器,Q12139612,Palomar–Leiden survey,パロマー・ライデンサーベイ,astronomical survey of minor planets in the Solar System,,,,,,
Q3594158,medical device,医療機器,Q12139612,Christopher Hitchens bibliography,,books and other publications by Christopher Hitchens (1949-2011),,,,,,
Q1165635,medical device,医療機器,Q12139612,Lowell Observatory Near-Earth-Object Search,ロウエル天文台近傍小惑星捜索,project designed to discover asteroids and comets that orbit near the Earth,天文プロジェクト。地球の近くを周回する小惑星や彗星の発見を目指す,,,,,
Q3639536,medical device,医療機器,Q12139612,bibliography of Silvio Berlusconi,,"Bibliography lists works of Silvio Berlusconi and books, documents, texts or parliamentary documents mentioning Silvio Berlusconi",,,,,,
Q3639512,medical device,医療機器,Q12139612,Carlos Castaneda bibliography,カルロス・カスタネダの著作リスト,,,,,,,
Q2330780,medical device,医療機器,Q12139612,Ursula K. Le Guin bibliography,,bibliography,,,,,,
Q4642551,medical device,医療機器,Q12139612,6dF Galaxy Survey,,astronomical survey,,,,,,
Q1414921,medical device,医療機器,Q12139612,RAdial Velocity Experiment,,spectroscopic astronomical survey,,,,,,
Q10501038,medical device,医療機器,Q12139612,Swedish church birth records,,,,,,,,
Q1794486,medical device,医療機器,Q12139612,Short Title Catalogue Flanders (STCV),,Belgian online bibliography,,,,,,
Q122425963,medical device,医療機器,Q12139612,Parish of Waldkirchen Church register 1,,Roman Catholic church register of the parish of Waldkirchen in Lower Bavaria,,,,,,
Q1225100,medical device,医療機器,Q12139612,Digitized Sky Survey,デジタイズド・スカイ・サーベイ,digitization of several astronomical surveys by the Space Telescope Science Institute,デジタル写真星図,,,,,
Q1854283,medical device,医療機器,Q12139612,Enid Blyton bibliography,,Wikimedia list article,ウィキメディアの一覧記事,,,,,
Q3256335,medical device,医療機器,Q12139612,Thomas Aquinas bibliography,,bibliography,ウィキメディアの一覧記事,,,,,
Q5588268,medical device,医療機器,Q12139612,Gould Belt Survey,,astronomical survey of star forming regions near the Solar System,,,,,,
Q122674304,medical device,医療機器,Q12139612,Kitakami Pokédex,,Pokédex of the Kitakami region,,,,,,
Q1996601,medical device,医療機器,Q12139612,Nora Roberts bibliography,,,,,,,,
Q1130922,medical device,医療機器,Q12139612,Great Observatories Origins Deep Survey,,astronomical survey that combines observations from 3 great NASA observatories,,,,,,
Q2411362,medical device,医療機器,Q12139612,Universal Short Title Catalogue,,bibliographic database,,,,,,
Q2347880,medical device,医療機器,Q12139612,Arthur C. Clarke bibliography,,,,,,,,
Q1256998,medical device,医療機器,Q12139612,Association of Public Libraries in Berlin,,library network,,,,,,
Q55411359,medical device,医療機器,Q12139612,"Parish registers for St. John's Church, Preston, 1642-1948",,"Microfilm and online electronic images of parish registers for St. John's Church, Preston, Lancashire, England",,,,,,
Q515838,medical device,医療機器,Q12139612,Catalina Sky Survey,カタリナ・スカイサーベイ,"project to discover comets and asteroids, and to search for Near-Earth objects",,,,,,
Q6714647,medical device,医療機器,Q12139612,MAssive Cluster Survey,,astronomical survey,,,,,,
Q4651289,medical device,医療機器,Q12139612,AEGIS,,multi-wavelength astronomical survey of a patch of the sky with low extinction and zodiacal scattering,,,,,,
