qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q3137609,medical sign,医学的徴候,Q1441305,pseudoaneurysm,,collection of blood and connective tissue outside the wall of a blood vessel or the heart,,D017541,,,,C1510412
Q86008198,medical sign,医学的徴候,Q1441305,The Three Bridge - Kiryat Gat,,,,,,,,
Q1328215,medical sign,医学的徴候,Q1441305,hypocapnia,低炭酸ガス血症,state of reduced carbon dioxide in the blood,,D016857,,,,C0085383
Q2253484,medical sign,医学的徴候,Q1441305,homosexual panic,,panic due to the pressure of perceived sexual cravings from another person of the same sex,,,,,,
Q4375,medical sign,医学的徴候,Q1441305,bronchoconstriction,気管支収縮,constriction of the airways in the lungs,,D016084,,,,C0079043
Q755630,medical sign,医学的徴候,Q1441305,relative energy deficiency in sport,,syndrome caused by chronic low energy availability in athletes,,D053716,,,,
Q114754301,medical sign,医学的徴候,Q1441305,hemorrhagic stroke,,stroke caused by the rupture of a weakened blood vessel in the brain,,D000083302,,,,
Q478613,medical sign,医学的徴候,Q1441305,unhappy triad,,"injury to the anterior cruciate ligament, medial collateral ligament, and meniscus",,,S83.7,,,
Q181923,medical sign,医学的徴候,Q1441305,attention deficit hyperactivity disorder,注意欠陥・多動性障害,neurodevelopmental disorder,神経発達症の一種,D001289,F90.0,,35253001,C4230171
Q396013,medical sign,医学的徴候,Q1441305,agranulocytosis,無顆粒球症,"acute, severe lowered white blood cell count",末梢血中において好中球が極端に減少すること,D000380,,288.0,165508008,C0001824
Q275419,medical sign,医学的徴候,Q1441305,hypotension,低血圧,abnormally low blood pressure,,D007022,I95,458,,C0020649
Q1137870,medical sign,医学的徴候,Q1441305,Courvoisier's law,クールボアジェ徴候,clinical sign pertaining to the gallbladder,無痛性の胆嚢腫大,,,,,C0278021
Q1132653,medical sign,医学的徴候,Q1441305,hypernatremia,高ナトリウム血症,high concentration of sodium ions in the blood,,D006955,E87.0,276.0,,C0020488
Q185089,medical sign,医学的徴候,Q1441305,acidosis,アシドーシス,a process causing increased acidity in the blood and other body tissues,生体の血液の平衡を酸性側にしようとする状態をアシドーシス、塩基性側にしようとする状態をアルカローシスと言う,D000138,E87.2,276.2,,C0001122
Q1142879,medical sign,医学的徴候,Q1441305,gag reflex,咽頭反射,reflex at the back of the throat,,D005683,,,,C0016927
Q81938,medical sign,医学的徴候,Q1441305,pain,疼痛,type of unpleasant feeling,不快な感覚の一種,D010146,R52.9,338,,C0030193
Q120157832,medical sign,医学的徴候,Q1441305,Birthday Trees project,,improve on nutrition and make schools livable places.,,,,,,
Q1146902,medical sign,医学的徴候,Q1441305,underweight,低体重,classification of human body weight,BMI18.5未満の状態。月経不順・不妊・脱毛・骨粗鬆症・精神不安・摂食障害など肉体的又は精神的リスクのみある体重。,D013851,R63.6,,,C0039870
Q1063093,medical sign,医学的徴候,Q1441305,Charcot's cholangitis triad,,for ascending cholangitis,,,,,,
Q56226095,medical sign,医学的徴候,Q1441305,death and legacy of Tom Thomson,,The death and legacy of Canadian artist Tom Thomson,,,,,,
Q1137032,medical sign,医学的徴候,Q1441305,Councilman body,,acidophilic globule of cells that represents a dying hepatocyte,,,,,,C0333745
Q379476,medical sign,医学的徴候,Q1441305,epidermoid cyst,粉瘤腫,human disease,,D004814,L72.0,706.2,,C0014511
Q120898050,medical sign,医学的徴候,Q1441305,death of Anthony Donelson Jr.,,Death of an African American person killed due to interaction with a California Law Enforcement Agency,,,,,,
Q120898195,medical sign,医学的徴候,Q1441305,death of Calvin Whittington,,Death of an African American person killed due to interaction with a California Law Enforcement Agency,,,,,,
Q120898374,medical sign,医学的徴候,Q1441305,death of Darryl Brice Cunningham,,Death of an African American person killed due to interaction with a California Law Enforcement Agency,,,,,,
Q120898934,medical sign,医学的徴候,Q1441305,death of Jonathan Hann,,Death of an African American person killed due to interaction with a California Law Enforcement Agency,,,,,,
Q120899034,medical sign,医学的徴候,Q1441305,death of Kenyon Michael Thomas,,Death of an African American person killed due to interaction with a California Law Enforcement Agency,,,,,,
Q120899327,medical sign,医学的徴候,Q1441305,death of Ocola Vaughn III,,Death of an African American person killed due to interaction with a California Law Enforcement Agency,,,,,,
Q1266051,medical sign,医学的徴候,Q1441305,dark triad,ダークトライアド,"three antisocial personality traits: narcissism, Machiavellianism, and psychopathy",,,,,,
Q794086,medical sign,医学的徴候,Q1441305,hypokalemia,低カリウム血症,Health condition with insufficient potassium in blood,,D007008,E87.6,276.8,,C0020621
Q1298973,medical sign,医学的徴候,Q1441305,small for gestational age,低出生体重児,babies whose birth weight lies below the 10th percentile for that gestational age,,D007236,P05,765,,
Q202758,medical sign,医学的徴候,Q1441305,hypoglycemia,低血糖症,low blood sugar,血糖値が低くなっている状態,D007003,E16.2,,,C0020615
Q18767,medical sign,医学的徴候,Q1441305,primary progressive aphasia,原発性進行性失語,progressive language and speech disorder,,D018888,,,,C0282513
Q625506,medical sign,医学的徴候,Q1441305,preterm birth,早産,birth at a gestational age less than 37 weeks,,D047928,O60.1,765,,C0151526
Q132356290,medical sign,医学的徴候,Q1441305,Starvation of the Obleukhov company,,1856 incident of starvation during the Russian colonization of Amur,,,,,,
Q1093872,medical sign,医学的徴候,Q1441305,Sister Mary Joseph nodule,シスター・ジョセフの小結節,palpable nodule bulging into the umbilicus,,D058288,,,,C0878585
Q3622301,medical sign,医学的徴候,Q1441305,Beck's triad,,triad of signs and symptoms associated with cardiac tamponade,,,,,,
Q1448753,medical sign,医学的徴候,Q1441305,Saint's triad,,medical condition,,,,,,
Q1123968,medical sign,医学的徴候,Q1441305,Möbius sign,,medical condition,,,,,,
Q1102038,medical sign,医学的徴候,Q1441305,clivus edge syndrome,,,,,,,,
Q16859780,medical sign,医学的徴候,Q1441305,Rarefying osteitis,,medical condition,,,,,,
Q7514888,medical sign,医学的徴候,Q1441305,Silhouette sign,,radiologic sign,,,,,,CL459038
Q1445812,medical sign,医学的徴候,Q1441305,Kussmaul's sign,,Kussmaul sign is a paradoxical rise in jugular venous pressure (JVP) on inspiration,,,,,,
Q3150728,medical sign,医学的徴候,Q1441305,ground glass opacity,,"for some diseases or changes in the lungs, examination shows uniform-looking, lighter areas in the lungs",,,,,,C3827002
Q890226,medical sign,医学的徴候,Q1441305,trauma triad of death,外傷死の3徴,"the combination of hypothermia, acidosis and coagulopathy often seen in severe trauma cases",,,,,,
Q7572960,medical sign,医学的徴候,Q1441305,Spalding's sign,,,,,,,,CL459055
Q1282114,medical sign,医学的徴候,Q1441305,speech disorder,発話障害,type of communication disorder in which normal speech is disrupted,,D013064,F98.6,307.0,,C0037822
Q1269330,medical sign,医学的徴候,Q1441305,dysproteinemia,タンパク異常血症,,,,E88.09,,,C0259744
Q1128283,medical sign,医学的徴候,Q1441305,mydriasis,散瞳,increase in size of the pupil's diameter and dilation,疾患や薬物、外傷によって瞳孔が過度に拡大する現象,D015878,H57.0,379.43,,C0026961
Q7833120,medical sign,医学的徴候,Q1441305,Tram track,,radiologic sign,,,,,,
Q2926052,medical sign,医学的徴候,Q1441305,air-bronchogram,,,,,,,,
Q16908589,medical sign,医学的徴候,Q1441305,osteoporosis circumscripta,,decalcified lesion found in Paget's disease,,,,,,
