qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q6389023,organ,臓器,Q24060765,Kendrick's Cave Decorated Horse Jaw,,carved Ice Age horse jawbone from Pen y Gogarth,,,,,,
Q1798114,organ,臓器,Q24060765,LH 4,,hominin fossil,,,,,,
Q106493165,organ,臓器,Q24060765,snake shed-skin,,The shed skin of a snake after moulting,,,,,,
Q3926344,organ,臓器,Q24060765,Qalb,カルブ,"meaning ""heart"", is the origin of intentional activities, in Sufism",,,,,,
Q19121886,organ,臓器,Q24060765,Penghu 1,澎湖原人,Denisovan fossil mandible (Taiwan),,,,,,
Q122753866,organ,臓器,Q24060765,Chinese oracle bone,,oracle bone highlighted in the British Library collection,,,,,,
Q3942579,organ,臓器,Q24060765,Ruh,,"spirit in Islam, or a person's immortal, essential self",,,,,,
Q1133387,organ,臓器,Q24060765,Homo mauritanicus,,species of the genus Homo,,,,,,
Q16842805,organ,臓器,Q24060765,Heslington Brain,,"human brain, found as an archaeological object",,,,,,
Q16321,organ,臓器,Q24060765,sphenoid bone,蝶形骨,unpaired bone situated at the front middle of the skull in front of the temporal bone and basilar part of the occipital bone,,D013100,,,,C0037884
Q212721,organ,臓器,Q24060765,lacrimal bone,涙骨,smallest and most fragile bone of the human skull and face,,,,,,
Q16298,organ,臓器,Q24060765,parietal bone,頭頂骨,"bone in the human skull which, when joined together, forms the sides and roof of the cranium",,D010294,,,,C0030558
Q21606681,organ,臓器,Q24060765,Khafi,,,,,,,,
Q21606683,organ,臓器,Q24060765,Akhfa,,,,,,,,
Q685317,organ,臓器,Q24060765,UR 501,,,,,,,,
Q21451219,organ,臓器,Q24060765,Privileges of fairs of Lyon,,,,,,,,
Q6072412,organ,臓器,Q24060765,Pergaminos municipales de Barcelona,,,,,,,,
Q16295,organ,臓器,Q24060765,frontal bone,前頭骨,skull bone,,D005624,,,,C0016732
Q29577797,organ,臓器,Q24060765,Portrait of Kamilla Szubertowa.,,,,,,,,
Q38155,organ,臓器,Q24060765,nasal bone,鼻骨,facial bone,骨の一つ,D009295,,,,C0027422
Q4041999,organ,臓器,Q24060765,KNM ER 992,,hominin fossil,,,,,,
Q110951988,organ,臓器,Q24060765,Daniel Sickles's leg,,amputated appendage of a Union Army general,,,,,,
Q7162905,organ,臓器,Q24060765,Peninj Mandible,ペニンジの下顎,hominin fossil,,,,,,
