qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24719507,protein family,タンパク質ファミリー,Q417841,basigin,,protein family,,D051926,,,,C0081714
Q24719518,protein family,タンパク質ファミリー,Q417841,Frizzled-7,,InterPro Family,,,,,,
Q407688,protein family,タンパク質ファミリー,Q417841,hemocyanins,ヘモシアニン,copper-containing proteins that transport oxygen in some invertebrates,,D006433,,,,
Q61506,protein family,タンパク質ファミリー,Q417841,SUMO protein,SUMOタンパク質,class of proteins,,D025841,,,,C0949723
Q24575134,protein family,タンパク質ファミリー,Q417841,5-hydroxytryptamine receptor family,,InterPro Family,,,,,,
Q24719436,protein family,タンパク質ファミリー,Q417841,"Anti-sigma regulatory factor, PmgA, predicted",,InterPro Family,,,,,,
Q24719511,protein family,タンパク質ファミリー,Q417841,Alpha-maltose-1-phosphate synthase,,InterPro Family,,,,,,
Q24719514,protein family,タンパク質ファミリー,Q417841,"Bacteriophage Mu, Gp46",,InterPro Family,,,,,,
Q24719521,protein family,タンパク質ファミリー,Q417841,Autoinducer 2 import ATP-binding protein LsrA,,InterPro Family,,,,,,
Q24719535,protein family,タンパク質ファミリー,Q417841,B Cell Lymphoma 9,,InterPro Family,,,,,,
Q24719552,protein family,タンパク質ファミリー,Q417841,Bacterial luciferase/NFP,,InterPro Family,,,,,,
Q24719583,protein family,タンパク質ファミリー,Q417841,Aliphatic sulfonates-binding protein,,InterPro Family,,,,,,
Q24719503,protein family,タンパク質ファミリー,Q417841,Choline-sulfatase,,InterPro Family,,,,,,
Q24719522,protein family,タンパク質ファミリー,Q417841,"Chloroplast envelope membrane protein, CemA",,InterPro Family,,,,,,
Q24719515,protein family,タンパク質ファミリー,Q417841,"DMSO reductase family, type II, molybdopterin subunit",,InterPro Family,,,,,,
Q24719562,protein family,タンパク質ファミリー,Q417841,"Citrate synthase, type I",,InterPro Family,,,,,,
Q24719454,protein family,タンパク質ファミリー,Q417841,Glutamate mutase sigma subunit,,InterPro Family,,,,,,
Q24719697,protein family,タンパク質ファミリー,Q417841,"ATP-dependent 6-phosphofructokinase, eukaryotic-type",,InterPro Family,,,,,,
Q24719598,protein family,タンパク質ファミリー,Q417841,Diol/glycerol dehydratase/dehydratase reactivating factor,,InterPro Family,,,,,,
Q24719530,protein family,タンパク質ファミリー,Q417841,"Fis-like DNA-binding domain-containing signal transduction response regulator, predicted",,InterPro Family,,,,,,
