qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q5308134,rare disease,希少疾患,Q929833,driving phobia,自動車恐怖症,fear of riding in a vehicle,,,,,,
Q124547579,rare disease,希少疾患,Q929833,Oncoretroviruses,,,,,,,,
Q130303254,rare disease,希少疾患,Q929833,compulsive orderliness,,,,,,,,
Q113383445,rare disease,希少疾患,Q929833,solitary kidney,,"a single kidney, or a single functioning kidney, caused by nephrectomy, birth defects or other kidney diseases",,D000075529,,,,
Q16517358,rare disease,希少疾患,Q929833,stasophobia,,fear of standing,,,,,,
Q5630028,rare disease,希少疾患,Q929833,HL23V,,type C RNA tumor virus,,,,,,
Q1131359,rare disease,希少疾患,Q929833,amaxophobia,,fear of driving a vehicle,,,,,,
Q13373927,rare disease,希少疾患,Q929833,acribophobia,,,,,,,,
Q16519032,rare disease,希少疾患,Q929833,dextrophobia,,,,,,,,
Q55780528,rare disease,希少疾患,Q929833,ear without helix,,human disease,,,,,,C1851899
Q4813049,rare disease,希少疾患,Q929833,atelophobia,,fear of not being good enough or imperfection,,,,,,
Q1316515,rare disease,希少疾患,Q929833,school refusal,学校恐怖症,anxiety or fear of school causing physical symptoms such as nausea and headaches,,D000098453,,,,
Q25499596,rare disease,希少疾患,Q929833,urophobia,,,,,,,,
Q104835295,rare disease,希少疾患,Q929833,Masklophobia,,"fear of masks, costumes and mascots",,,,,,
Q27991435,rare disease,希少疾患,Q929833,arachibutyrofobie,,phobia,,,,,,
Q5439398,rare disease,希少疾患,Q929833,fear of negative evaluation,他者からの否定的評価への恐れ,psychological construct,,,,,,
Q12363250,rare disease,希少疾患,Q929833,hadephobia,,fear of hell,,,,,,
Q245455,rare disease,希少疾患,Q929833,chromosome 5q deletion syndrome,5q-症候群,human disease,,C535323,,,,C0740302
Q31172799,rare disease,希少疾患,Q929833,Nephophobia,,fear of clouds,,,,,,
