en_label,ja_label,category,en_description,ja_description,qid
Lemierre's syndrome,レミエール症候群,病気,Human disease: infectious thrombophlebitis of the internal jugular vein,菌血症による感染性血栓性頸静脈炎である疾患群,Q72000
tetraphobia,四の字,病気,"avoidance of instances of the number 4, due to homophony of the hanzi 四 (4) and 死 (death) in many East Asian languages",漢字文化圏における忌み数,Q72210
bone fracture,骨折,病気,medical condition in which there is physical damage to the continuity of the bones,直達外力や介達外力により骨が変形、破壊を起こす外傷であり、構造の連続性が絶たれた状態,Q68833
herpes zoster,帯状疱疹,病気,viral disease caused by the Varicella zoster virus,水疱瘡の感染歴のある人が発症する、神経に潜んでいた水痘・帯状疱疹ウイルスが引き起こす皮膚疾患,Q182155
attention deficit hyperactivity disorder,注意欠陥・多動性障害,病気,neurodevelopmental disorder,神経発達症の一種,Q181923
yawn,あくび,病気,reflex,眠い時に出る呼吸動作,Q182180
typhoid fever,腸チフス,病気,bacterial infectious disorder contracted by consumption of food or drink contaminated with Salmonella typhi. This disorder is common in developing countries and can be treated with antibiotics.,サルモネラ属の細菌を病原体とする感染症,Q83319
measles,麻疹,病気,viral disease affecting humans,麻疹ウイルスによる感染症,Q79793
depersonalization,離人症,病気,anomaly of self-awareness,自分が自分の心や体から離れていったり、また自分が自身の観察者になるような状態を感じること,Q83177
urinary incontinence,尿失禁,病気,uncontrolled leakage of urine,尿を失禁すること,Q281490
Proteus syndrome,プロテウス症候群,病気,"human disease characterized by an overgrowth of skin, bones, muscles, fatty tissues, and blood and lymphatic vessels",身体の変形などをもたらす希少疾患,Q281115
mania,躁病,病気,"state of abnormally elevated or irritable mood, arousal, and/or energy levels",気分高揚・万能感・活動性激増・多弁・自己過大評価・睡眠激減・観念奔逸・病識欠如などを特徴とする精神疾患,Q185935
neurasthenia,神経衰弱,病気,"psychopathological term to denote a condition with symptoms of fatigue, anxiety, headache, heart palpitations, high blood pressure, neuralgia, and depressed mood",精神疾患の診断名の一つ,Q510236
itai-itai disease,イタイイタイ病,病気,Japanese epidemic of cadmium poisoning,未処理廃水によるカドミウム過剰摂取状態で長期間生活してた婦中町(現:富山市)の農業従事者に発生していた公害病,Q183472
pyelonephritis,腎盂腎炎,病気,Human disease,腎盂ならびに腎実質の炎症,Q506652
hypomania,軽躁病,病気,mood state characterized by persistent and pervasive elevated or irritable mood,双極性障害（躁鬱病）という精神疾患における、﻿気分高揚や活動性亢進状態の期間,Q188611
human papillomavirus infection,ヒトパピローマウイルス,病気,infection caused by the human papillomavirus (HPV),尖圭コンジローマや子宮頸がん、中咽頭がんなどの原因とされるウイルス,Q184627
Esca,エスカ,病気,type of grapevine trunk disease,ブドウの幹の病気,Q284145
stuttering,吃音症,病気,"speech disorder in which the flow of speech is disrupted by involuntary repetitions and prolongations of sounds, syllables, words, or phrases as well as involuntary silent pauses or blocks in which the person who stutters is unable to produce sounds",言葉が円滑に話せない、スムーズに言葉が出てこないこと,Q186676
rheumatoid arthritis,関節リウマチ,病気,autoimmune disease which attacks healthy cells and tissue located in joints,関節炎を主体とする炎症性疾患,Q187255
nephrotic syndrome,ネフローゼ症候群,病気,Human disease,尿中に大量のタンパク質が排出されることにより、血液中のタンパク質の濃度が薄くなる結果、むくみ（浮腫）等の異常が起こる疾患,Q504790
severe acute respiratory syndrome,重症急性呼吸器症候群,病気,viral respiratory disease,SARSコロナウイルスの感染で発症するウイルス性呼吸器感染症,Q103177
rhinitis,鼻炎,病気,irritation and inflammation of the mucous membrane inside the nose,鼻腔の粘膜に発生した、急性または慢性の炎症,Q114085
congenital myopathy,先天性ミオパチー,病気,human disease,フロッピーインファント症状を引き起こす疾患群,Q112412
hepatitis E,E型肝炎,病気,an inflammation of the liver caused by infection with the hepatitis E virus,食品が媒介するウイルス性肝炎,Q326643
inferiority complex,劣等感,病気,an intense feeling of inferiority,自分が他人に劣っていると感じること,Q319763
Huntington's disease,ハンチントン病,病気,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",遺伝子の第1エクソンのCAGの繰り返し配列が異常に伸びることによる変性疾患,Q190564
delusion,妄想,病気,firm and fixed belief based on inadequate grounding,その文化において共有されない誤った確信,Q189643
colony collapse disorder,蜂群崩壊症候群,病気,poorly-understood phenomenon causing decline in bee populations,ミツバチが原因不明で大量に失踪する現象,Q497841
trichinosis,旋毛虫症,病気,parasitic disease due to invasion by Trichinella spp.,旋毛虫 の感染を原因とする人獣共通感染症,Q495146
gonorrhea,淋病,病気,sexually transmitted infection,淋菌への感染により起こる感染症,Q101896
catatonia,緊張病,病気,"psychopathological syndrome, a group of postural and movement abnormalities",精神運動の低下および昏迷状態に代表される異常行動を特徴とする状態,Q501571
sepsis,敗血症,病気,life-threatening response to infection,感染症に対する制御不能な生体反応からくる致命的な臓器障害,Q183134
sinusitis,副鼻腔炎,病気,inflammation of the mucous membrane that lines the sinuses resulting in symptoms,副鼻腔に炎症がおきる病気,Q183344
mpox,エムポックス,病気,viral disease,エムポックスウイルスへの感染を原因とする人獣共通感染症,Q382370
