en_label,ja_label,category,en_description,ja_description,qid
Aicardi-Goutieres syndrome,エカルディ・グティエール症候群,病気,a rare genetic neurodevelopmental disorder,,Q403453
compulsive sexual behaviour disorder,色情症,病気,mental disorder according to ICD-11,性欲の異常亢進,Q5958573
atrioventricular septal defect,心内膜床欠損症,病気,Human disease,,Q390211
Onsan illness,温山病,病気,Cadmium poisoning caused by environmental pollution in the South Korean city of Onsan in the 1980s,,Q11262043
Yushō disease,カネミ油症事件,病気,mass poisoning in Japan,1960年代に日本で発生した油症事件,Q359288
Yokkaichi asthma,四日市ぜんそく,病気,Epidemic of asthma caused by air pollution in Japan,1970年ごろに起こった日本の公害問題,Q8054567
itai-itai disease,イタイイタイ病,病気,Japanese epidemic of cadmium poisoning,未処理廃水によるカドミウム過剰摂取状態で長期間生活してた婦中町(現:富山市)の農業従事者に発生していた公害病,Q183472
maple syrup urine disease,メープルシロップ尿症,病気,human disease,,Q402575
voretigene neparvovec,ボレチジーンネパルボベック,病気,gene therapy medication,,Q48988385
Parkinson's disease,パーキンソン病,病気,long-term degenerative neurological disorder,運動障害を示す進行性の神経変性疾患の一種,Q11085
uterine fibroid,子宮筋腫,病気,uterine benign neoplasm derived from the smooth muscle layer of the uterus,,Q556281
Crohn's disease,クローン病,病気,type of inflammatory bowel disease,主として口腔から肛門までの全消化管に、非連続性の慢性肉芽腫性炎症を生じる原因不明の炎症性疾患,Q1472
ataxia telangiectasia,毛細血管拡張性運動失調症,病気,"a rare, neurodegenerative, autosomal recessive human disease causing severe disability",,Q387082
Toroku arsenic disease,土呂久砒素公害,病気,disease caused by pollution in Japan,亜砒酸製造の「亜ヒ焼き」が引き起こした公害。,Q7826225
hypersexuality,異常性欲,病気,excessive arousal and interest in sex,量的または質的に異常な性欲,Q267907
frontotemporal lobar degeneration,前頭側頭葉変性症,病気,group of disorders,,Q18579
Baller-Gerold syndrome,バレーゲロルド症候群,病気,"synostosis characterized by coronal craniosynostosis, short stature, and aplasia or hypoplasia of the radial bone",,Q3508616
systemic lupus erythematosus,全身性エリテマトーデス,病気,"inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart.",膠原病の一つ,Q1485
Suginami desease,杉並病,病気,,,Q11521711
Niigata Minamata disease,第二水俣病,病気,Japanese outbreak of mercury poisoning,日本の公害病、有機水銀を含んだ廃液による食物連鎖で生じた中毒性中枢神経系疾患,Q996200
heat stroke,熱射病,病気,"failure of the body to dissipate heat in an excessively hot environment, or during physical exertion",40℃を超える体温とせん妄を生じさせる重度の熱中症の一つ,Q337554
frontotemporal dementia,前頭側頭型認知症,病気,medical condition,,Q18592
Craniopagus parasiticus,寄生的頭蓋結合体,病気,rare type of Craniopagus,,Q1483
bronchiectasis,気管支拡張症,病気,disorder of respiratory system,,Q32778
Bare lymphocyte syndrome,裸リンパ球症候群,病気,medical condition,,Q3508735
Timothy syndrome,ティモシー症候群,病気,"autosomal dominant disease that is characterized by cardiac, hand/foot, facial, and neurodevelopmental features; the two forms are type 1 (classic) and type 2, a rare form that has material basis in mutations in a transcript variant of CACNA1C",,Q3508705
paramyotonia congenita,先天性パラミオトニア,病気,human disease,,Q493103
sucrose intolerance,ショ糖不耐症,病気,Congenital sucrase-isomaltase deficiency (CSID) is a carbohydrate intolerance disorder characterised by malabsorption of oligosaccharides and disaccharides,,Q498826
osteochondritis dissecans,離断性骨軟骨炎,病気,ischemic bone disease that results in necrosis located in epiphysis,,Q127556
ectoparasitism,外部寄生,病気,parasitic disease caused by organisms that live primarily on the surface of the host,,Q5334259
neurogenic arthrogryposis multiplex congenita,関節拘縮,病気,congenital joint contracture in two or more areas of the body,,Q708165
tinea pedis,足白癬,病気,foot disease,,Q5609817
achromatopsia,杆体1色覚,病気,"human illness, a type of color blindness",,Q432396
Lesch-Nyhan syndrome,レッシュ・ナイハン症候群,病気,rare genetic syndrome,,Q727436
fungal meningitis,真菌性髄膜炎,病気,meningitis that has material basis in a fungal infection,,Q5509169
acute intermittent porphyria,急性間欠性ポルフィリン症,病気,human disease,,Q424247
mitral valve prolapse,僧帽弁逸脱症,病気,mitral valve disease where one or both of the cusps of the mitral valve bulge or collapse backward in the left atrium during systole,,Q735652
Kashin–Beck disease,カシン＝ベック病,病気,"chronic, endemic osteochondropathy",,Q500314
Simpson-Golabi-Behmel syndrome,シンプソン・ゴラビ・ベーメル症候群,病気,"X-linked disease characterized by pre- and postnatal overgrowth and craniofacial, skeletal, cardiac and renal abnormalities",,Q478891
McCune–Albright syndrome,マッキューン・オルブライト症候群,病気,rare disease,,Q727008
Loeys-Dietz syndrome,ロイス・ディエツ症候群,病気,Human disease,,Q3508669
febrile seizure,熱性けいれん,病気,seizure associated with a high body temperature,温度が38°Cを超えると発生する発作,Q127664
Denys-Drash syndrome,デニス・ドラッシュ症候群,病気,Human disease,,Q774016
microcephaly,小頭症,病気,medical condition in which the brain does not develop properly resulting in a smaller than normal head,,Q431643
genetic resistance to malaria,マラリアへの遺伝学的抵抗性,病気,human disease,,Q5532924
orofaciodigital syndrome I,口顔指症候群1型,病気,orofaciodigital syndrome characterized_by polycystic kidney disease and variable involvement of the central nervous system and has_material_basis_in X-linked inheritance of the OFD1 gene,,Q3508786
hantavirus pulmonary syndrome,ハンタウイルス肺症候群,病気,human disease,ハンタウイルスを病原体とする呼吸器感染症,Q6137239
streptococcal infection,溶連菌感染症,病気,human disease,広義にはレンサ球菌属による感染症すべてを、狭義には化膿レンサ球菌による感染症を指す語,Q5849703
galactosemia,ガラクトース血症,病気,carbohydrate metabolic disorder that involves a defect in galactose metabolism resulting in toxic levels of galactose 1-phosphate in various tissues,,Q774483
congenital myasthenic syndrome,先天性筋無力症候群,病気,Human disease,,Q3508800
herpes simplex,単純疱疹,病気,viral disease caused by the herpes simplex virus,単純ヘルペスウイルス1・2型によって引き起こされる性感染症,Q6473911
dyslexia,ディスレクシア,病気,specific learning disability characterized by troubles with reading,文字の読み書きに関する学習障害,Q132971
Bannayan-Riley-Ruvalcaba syndrome,バナヤン・ライリー・ルバルカバ症候群,病気,"a rare overgrowth syndrome and hamartomatous disorder with occurrence of multiple subcutaneous lipomas, macrocephaly and hemangiomas.",,Q474254
Nairobi disease,ナイロビ羊病,病気,"arbovirus infection of sheep and goats transmitted by ticks, characterized by high fever and hemorrhagic gastroenteritis",,Q5656856
oxycephaly,尖頭症,病気,cephalic disorder where the top of the skull is pointed or conical due to premature closure of the coronal suture plus any other suture,,Q3813599
phaeochromocytoma,褐色細胞腫,病気,endocrine organ benign neoplasm that arises within the adrenal medulla,,Q536269
uncombable hair syndrome,梳かせない髪症候群,病気,rare scalp hair shaft dysplasia,,Q541852
thoracic aortic aneurysm,胸部大動脈瘤,病気,aortic aneurysm that is located in the thoracic aorta,,Q3616648
alveolar soft part sarcoma,胞巣状軟部肉腫,病気,soft tissue cancer that is a slow growing tumor of an unknown origin that effects children and effects young adults,,Q4063436
polyorchidism,多睾丸症,病気,rare disease,,Q745631
FG syndrome,FG症候群,病気,disease,,Q530142
mismatch repair cancer syndrome,ターコット症候群,病気,genetic disease,,Q736633
Creutzfeldt-Jakob disease,クロイツフェルト・ヤコブ病,病気,degenerative neurological disorder,中枢神経の変性疾患,Q49989
asplenia,無脾症,病気,congenital disorder,,Q737712
hypoprothrombinemia,低プロトロンビン血症,病気,Human disease,,Q3801629
trichothiodystrophy syndromes,硫黄欠乏性毛髪発育異常症,病気,human disease,,Q3539030
beta thalassemia,Βサラセミア,病気,thalassemia characterized by the reduced or absent synthesis of the beta globin chains of hemoglobin,,Q3616632
nephroblastoma,腎芽腫,病気,rare disease,小児の腎腫瘍,Q756289
pre-eclampsia,子癇前症,病気,hypertension occurring during pregnancy,,Q61335
von Hippel-Lindau disease,フォン・ヒッペル・リンドウ病,病気,a rare genetic disorder characterized by visceral cysts and benign tumors in multiple organ systems with potential for subsequent malignant change.,,Q741315
Treacher Collins syndrome,トリーチャーコリンズ症候群,病気,human genetic disorder,頬骨の欠如等の顎顔面形態の不調和を特徴とする、常染色体優位先天性疾患のひとつ,Q744790
congenital hereditary endothelial dystrophy of cornea,先天性角膜内皮ジストロフィー,病気,Human disease,,Q4127191
Angelman syndrome,アンジェルマン症候群,病気,genetic condition in humans,,Q535364
lamellar ichthyosis,層状魚鱗癬,病気,disease,,Q3804556
osteogenesis imperfecta,骨形成不全症,病気,osteochondrodysplasia that has material basis in a deficiency in type-I collagen which results in brittle bones and defective connective tissue,,Q749409
aortic valve stenosis,大動脈弁狭窄症,病気,aortic valve disease that has physical basis in incomplete opening of the aortic valve,,Q531019
3-methylglutaconic aciduria,メチルグルタコン酸尿症,病気,organic acidemia that is characterized by elevated levels of 3-methylglutaconic acid and 3-methylglutaric acid in the urine,,Q3598794
albinism,アルビノ,病気,congenital disorder causing skin to lack pigmentation,,Q81867
neuroacanthocytosis,神経有棘赤血球症,病気,Neuroacanthocytosis (NA) syndromes are a group of genetic diseases characterized by the association of red blood cell acanthocytosis (deformed erythrocytes with spike-like protrusions) and progressive degeneration of the basal ganglia,,Q746781
Rett syndrome,レット症候群,病気,genetic brain disorder,生後6カ月以降の女児にみられる遺伝性発達障害,Q917357
citrullinemia,シトルリン血症,病気,urea cycle disorder that involves the accumulation of ammonia in the blood.,,Q859142
slipped capital femoral epiphysis,大腿骨頭滑り症,病気,rare disease,,Q442615
Sandhoff disease,サンドホフ病,病気,"lysosomal storage disorder from the GM2 gangliosidosis family, characterised by central nervous system degeneration",,Q917227
Krabbe disease,クラッベ病,病気,congenital disorder of the nervous system,,Q511372
hereditary hemorrhagic telangiectasia,ランデュー・オスラー・ウェーバー症候群,病気,genetic disorder involving capillaries,血管奇形を起こす遺伝性疾患。遺伝性出血性毛細血管拡張症あるいは遺伝性出血性末梢血管拡張症。,Q776881
sirenomelia,シレノメリア,病気,disease,,Q795024
pulmonary alveolar proteinosis,肺胞蛋白症,病気,"lung disease that is characterized by abnormal accumulation of surfactant occurs within the alveoli, interfering with gas exchange",,Q448698
5-alpha-reductase deficiency,5α-還元酵素II型欠損症,病気,medical condition,,Q858426
retinoblastoma,網膜芽細胞腫,病気,retinal cell cancer,,Q500695
Gaucher's disease,ゴーシェ病,病気,human disease characterized by deficiency of the enzyme glucocerebrosidase which results in the accumulation of harmful quantities of the glycolipid glucocerebroside throughout the body,,Q861645
atrial fibrillation,心房細動,病気,abnormal heart rhythm characterized by rapid and irregular beating,,Q815819
multiple endocrine neoplasia type 2A,多発性内分泌腫瘍症2型,病気,"autosomal dominant disease characterized by medullary carcinoma of the thyroid, pheochromocytoma, hyperparathyroidism, and occasionally cutaneous lichen amyloidosis",,Q604075
amelogenesis imperfecta,エナメル質形成不全,病気,dental enamel hypoplasia characterized by abnormal enamel formation,,Q461854
Sertoli cell-only syndrome,セルトリ細胞遺残症候群,病気,Human disease,,Q167050
Tay-Sachs disease,テイ＝サックス病,病気,Human medical condition,,Q560337
lymphangiomatosis,リンパ管腫症,病気,rare disease,,Q183390
chondrocalcinosis,偽痛風,病気,arthritis that has material basis in the accumulation of salt crystals located in joint,,Q559082
trisomy 16,16トリソミー,病気,partial or complete triplication of chromosome 16,,Q503642
Wilson disease,肝レンズ核変性症,病気,multisystem disease due to abnormal accumulation of copper,先天性銅代謝異常によって無機銅が代謝されずに蓄積し、大脳のレンズ核の変性と共に肝硬変・角膜輪等を生ずる疾患,Q117121
mastocytosis,肥満細胞症,病気,human disease,,Q112670
Alexander disease,アレキサンダー病,病気,congenital disorder of nervous system,,Q567820
anti-NMDA receptor encephalitis,抗NMDA受容体抗体脳炎,病気,rare disease,急性型の脳炎,Q574719
Bartter disease,バーター症候群,病気,Human disease,,Q790971
trichotillomania,抜毛症,病気,impulse control disorder with uncontrollable hair pulling,正常な毛を引き抜いてしまう精神障害のひとつ,Q608259
ventricular septal defect,心室中隔欠損,病気,"heart septal defect characterized by an opening in the interventricular septum, causing a shunt between ventricles",,Q838139
neurofibromatoses,神経線維腫症,病気,human diseases,,Q847605
Prader–Willi syndrome,プラダー・ウィリー症候群,病気,rare genetic disorder,,Q594013
bicuspid aortic valve,大動脈二尖弁,病気,human disease,,Q860167
pseudohypoparathyroidism,偽性副甲状腺機能低下症,病気,human disease,,Q819207
Morquio syndrome,モルキオ症候群,病気,rare disease,,Q580285
congenital insensitivity to pain with anhidrosis,先天性無痛無汗症,病気,rare disease,,Q501694
mucopolysaccharidosis VI,ムコ多糖症VI型,病気,lysosomal storage disease,,Q576109
adult Refsum disease,レフサム病,病気,Human disease,,Q177809
trimethylaminuria,トリメチルアミン尿症,病気,rare metabolic disorder,,Q506433
Seckel syndrome,セッケル症候群,病気,autosomal recessive disease characterized by intrauterine growth retardation and postnatal dwarfism with microcephaly and intellectual disability,,Q572169
glycogen storage disease V,マッカードル病,病気,Human disease,,Q787751
nephrotic syndrome,ネフローゼ症候群,病気,Human disease,尿中に大量のタンパク質が排出されることにより、血液中のタンパク質の濃度が薄くなる結果、むくみ（浮腫）等の異常が起こる疾患,Q504790
Lafora disease,ラフォラ病,病気,"type of rare, inherited, severe, progressive myoclonic epilepsy",,Q163905
Brugada syndrome,ブルガダ症候群,病気,heart conduction disease characterized by abnormal ECG findings,,Q599683
CINCA syndrome,新生児期発症多臓器系炎症性疾患,病気,"Chronic Infantile Neurological, Cutaneous, and Articular (CINCA) syndrome is characterised by skin rash, joint involvement, chronic meningitis with granulocytes and, in some cases, sensorineural hearing loss and ocular signs",,Q779203
cone dystrophy,錐体ジストロフィー,病気,inherited ocular disorder characterized by the loss of cone cells,,Q147270
cleidocranial dysplasia,鎖骨・頭蓋異形成症,病気,osteochondrodysplasia that has material basis in mutations in the RUNX2 gene which results in undeveloped or absent located in clavicle along with delayed closing of fontanels in the located in skull,,Q781618
aplastic anemia,再生不良性貧血,病気,"anemia that is characterized by a deficiency of red blood cells, white blood cells and platelets produced by bone marrow",,Q846316
hemophilia,血友病,病気,"human genetic disease that impairs the body's ability to make blood clots, a process needed to stop bleeding",血液凝固因子のうちVIII因子、IX因子の欠損ないし活性低下による遺伝性血液凝固異常症,Q134003
rickets,くる病,病気,human disease,カルシウム・リン・ビタミンDなどの摂取不足・代謝異常によって、骨形成過程の石灰化が正常にならず、弱い骨となる病気,Q183392
spastic quadriplegia,痙性四肢麻痺,病気,type of spastic cerebral palsy characterized by increased muscle tone of all four extremities,,Q3985306
acute fatty liver of pregnancy,急性妊娠脂肪肝,病気,medical condition,,Q4677929
adrenal gland neoplasm,副腎腫瘍,病気,neoplasm (disease) that involves the adrenal gland,副腎における腫瘍性病変,Q4684715
Usher syndrome,アッシャー症候群,病気,syndrome characterized by a combination of hearing loss and visual impairment,,Q917399
hereditary stomatocytosis,遺伝性有口赤血球症,病気,human disease,,Q3973817
Kleefstra syndrome,クリーフストラ症候群,病気,Human disease,,Q4646476
fasciolosis,肝蛭症,病気,parasitic worm infection caused by the common liver fluke Fasciola hepatica as well as by Fasciola gigantica,,Q6972442
Rabson–Mendenhall syndrome,ラブソン-メンデンホール症候群,病気,medical condition,,Q3961685
Mycobacterium avium-intracellulare infection,非定型抗酸菌複合体,病気,Human disease,,Q6946984
trichodysplasia spinulosa,トリコディスプレジア・スピヌローザ,病気,"skin disease found in immunocompromised patients, caused by TSPyV",,Q7933588
genital herpes,性器ヘルペス,病気,infection by herpes simplex virus (HSV) of the genitals,単純ヘルペスウイルス1・2型によって、感染後に宿主の不調の度に再発を繰り返す性感染症,Q7476596
Borna disease,ボルナ病,病気,horse disease,,Q9430213
sarcocystosis,サルコシスチス症,病気,human disease,,Q9333895
hemorrhagic fever with renal syndrome,腎症候性出血熱,病気,Group of clinically similar illnesses caused by species of hantaviruses,ハンタウイルスを病原体とするウイルス性出血熱,Q9002005
Zika fever,ジカ熱,病気,infectious arboviral disease,カが媒介するウイルス感染症,Q8071861
congenital amegakaryocytic thrombocytopenia,先天性無巨核球性血小板減少症,病気,thrombocytopenia characterized by a severe reduction in megakaryocyte and platelet numbers that has material basis in homozygous or compound heterozygous mutation in the MPL gene on chromosome 1p34,,Q5160405
congenital dyserythropoietic anemia,先天性赤血球異形成貧血,病気,"congenital hemolytic anemia characterized by ineffective erythropoiesis, and resulting from a decrease in the number of red blood cells (RBCs) in the body and a less than normal quantity of hemoglobin in the blood",,Q5160422
sickle-cell disease,鎌状赤血球症,病気,group of genetic blood disorders,,Q185034
