en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
Aicardi-Goutieres syndrome,エカルディ・グティエール症候群,disease,病気,a rare genetic neurodevelopmental disorder,,Q403453
familial Mediterranean fever,家族性地中海熱,disease,病気,Human disease,,Q1144618
atrioventricular septal defect,心内膜床欠損症,disease,病気,Human disease,,Q390211
paramyotonia congenita,先天性パラミオトニア,disease,病気,human disease,,Q493103
sucrose intolerance,ショ糖不耐症,disease,病気,Congenital sucrase-isomaltase deficiency (CSID) is a carbohydrate intolerance disorder characterised by malabsorption of oligosaccharides and disaccharides,,Q498826
retinoblastoma,網膜芽細胞腫,disease,病気,retinal cell cancer,,Q500695
neurogenic arthrogryposis multiplex congenita,関節拘縮,disease,病気,congenital joint contracture in two or more areas of the body,,Q708165
Creutzfeldt-Jakob disease,クロイツフェルト・ヤコブ病,disease,病気,degenerative neurological disorder,中枢神経の変性疾患,Q49989
maple syrup urine disease,メープルシロップ尿症,disease,病気,human disease,,Q402575
achromatopsia,杆体1色覚,disease,病気,"human illness, a type of color blindness",,Q432396
Lesch-Nyhan syndrome,レッシュ・ナイハン症候群,disease,病気,rare genetic syndrome,,Q727436
trisomy 16,16トリソミー,disease,病気,partial or complete triplication of chromosome 16,,Q503642
acute intermittent porphyria,急性間欠性ポルフィリン症,disease,病気,human disease,,Q424247
mitral valve prolapse,僧帽弁逸脱症,disease,病気,mitral valve disease where one or both of the cusps of the mitral valve bulge or collapse backward in the left atrium during systole,,Q735652
Parkinson's disease,パーキンソン病,disease,病気,long-term degenerative neurological disorder,運動障害を示す進行性の神経変性疾患の一種,Q11085
Kashin–Beck disease,カシン＝ベック病,disease,病気,"chronic, endemic osteochondropathy",,Q500314
Crohn's disease,クローン病,disease,病気,type of inflammatory bowel disease,主として口腔から肛門までの全消化管に、非連続性の慢性肉芽腫性炎症を生じる原因不明の炎症性疾患,Q1472
ataxia telangiectasia,毛細血管拡張性運動失調症,disease,病気,"a rare, neurodegenerative, autosomal recessive human disease causing severe disability",,Q387082
Simpson-Golabi-Behmel syndrome,シンプソン・ゴラビ・ベーメル症候群,disease,病気,"X-linked disease characterized by pre- and postnatal overgrowth and craniofacial, skeletal, cardiac and renal abnormalities",,Q478891
McCune–Albright syndrome,マッキューン・オルブライト症候群,disease,病気,rare disease,,Q727008
ventricular septal defect,心室中隔欠損,disease,病気,"heart septal defect characterized by an opening in the interventricular septum, causing a shunt between ventricles",,Q838139
neurofibromatoses,神経線維腫症,disease,病気,human diseases,,Q847605
Coffin-Lowry syndrome,コフィン・ローリー症候群,disease,病気,genetic disorder that is X-linked dominant,,Q1106881
drusen,ドルーゼン,disease,病気,tiny yellow or white accumulations of extracellular material that build up between Bruch's membrane and the retinal pigment epithelium of the eye,,Q1140528
