qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q403453,disease,病気,Q12136,Aicardi-Goutieres syndrome,エカルディ・グティエール症候群,a rare genetic neurodevelopmental disorder,,C535607,,,,C0393591
Q5958573,disease,病気,Q12136,compulsive sexual behaviour disorder,色情症,mental disorder according to ICD-11,性欲の異常亢進,D000096583,,,,
Q442615,disease,病気,Q12136,slipped capital femoral epiphysis,大腿骨頭滑り症,rare disease,,D060048,M93.0,,26460006,C0149887
Q390211,disease,病気,Q12136,atrioventricular septal defect,心内膜床欠損症,Human disease,,D004694,,,,C0014116
Q493103,disease,病気,Q12136,paramyotonia congenita,先天性パラミオトニア,human disease,,C538616,G71.1,359.2,,C0221055
Q1153419,disease,病気,Q12136,interstitial lung disease,間質性肺炎,group of lung diseases affecting the interstitium (the tissue and space around the air sacs of the lungs),肺にある間質組織の線維化が起こる疾患,D017563,,714.81,,C0206061
Q390791,disease,病気,Q12136,hepatoerythropoietic porphyria,,Human disease,,D017121,E80.2,277.1,111386004,C0162569
Q498826,disease,病気,Q12136,sucrose intolerance,ショ糖不耐症,Congenital sucrase-isomaltase deficiency (CSID) is a carbohydrate intolerance disorder characterised by malabsorption of oligosaccharides and disaccharides,,C538139,E74.3,271.3,,C1283620
Q448698,disease,病気,Q12136,pulmonary alveolar proteinosis,肺胞蛋白症,"lung disease that is characterized by abnormal accumulation of surfactant occurs within the alveoli, interfering with gas exchange",,D011649,,,,C0034050
Q458099,disease,病気,Q12136,triosephosphate isomerase deficiency,,Genetic metabolic disorder,,C566029,D55.2,282.3,,C0398562
Q708165,disease,病気,Q12136,neurogenic arthrogryposis multiplex congenita,関節拘縮,congenital joint contracture in two or more areas of the body,,C536614,,728.3,,C1859721
Q98080401,disease,病気,Q12136,Breast hemangioma,,a very rare benign vascular neoplasm accounting for 0.4% of all breast tumors,,,,,,
Q432814,disease,病気,Q12136,Alström syndrome,,rare genetic disorder caused by mutations in the gene ALMS1,,D056769,Q87.8,,,C0268425
Q402575,disease,病気,Q12136,maple syrup urine disease,メープルシロップ尿症,human disease,,D008375,,,,C0024776
Q461854,disease,病気,Q12136,amelogenesis imperfecta,エナメル質形成不全,dental enamel hypoplasia characterized by abnormal enamel formation,,D000567,K00.5,,,C0002452
Q419897,disease,病気,Q12136,porphyria due to ALAD deficiency,,"porphyria that has symptom abdominal pain, has symptom neuropathy, has symptom autonomic instability and has symptom psychosis",,,E80.2,277.1,,C0162533
Q727436,disease,病気,Q12136,Lesch-Nyhan syndrome,レッシュ・ナイハン症候群,rare genetic syndrome,,D007926,,277.2,,C0023374
Q492129,disease,病気,Q12136,porencephaly,,congenital disorder of nervous system characterized by cysts or cavities within the cerebral hemisphere.,,D065708,,,38837006,C0302892
Q735652,disease,病気,Q12136,mitral valve prolapse,僧帽弁逸脱症,mitral valve disease where one or both of the cusps of the mitral valve bulge or collapse backward in the left atrium during systole,,D008945,,424.0,,C0026267
Q55782588,disease,病気,Q12136,syndactyly type 8,,human disease,,,,,,C1839728
Q11085,disease,病気,Q12136,Parkinson's disease,パーキンソン病,long-term degenerative neurological disorder,運動障害を示す進行性の神経変性疾患の一種,D010300,,,,C0030567
Q498487,disease,病気,Q12136,Camurati-Engelmann disease,,rare disease,,D003966,,756.59,,C0011989
Q556281,disease,病気,Q12136,uterine fibroid,子宮筋腫,uterine benign neoplasm derived from the smooth muscle layer of the uterus,,,,,,C0042133
